Frequency[Hz], Hx, sHx, Hy, sHy, PhaseX[rad], sPhaseX, PhaseY[rad], sPhaseY
1.000000000000000000e+00,4.122731518625198481e-03,1.776100610006164322e-05,1.229276536856410685e-04,1.714576330865161621e-05,-3.254829795832479000e+00,8.737256975614679858e-03,-6.603643548613035819e+00,2.834513814489879047e-01
1.020000000000000018e+00,4.103843976385988801e-03,1.709029259281171834e-05,1.105941356337580958e-04,1.649887877962386508e-05,-3.066949241943740745e+00,8.618781970436202589e-03,-5.398107866782384079e+00,3.097272666897335491e-01
1.040000000000000036e+00,3.651847659022088369e-03,1.646496710420061637e-05,1.121489524826080959e-04,1.589851764925303445e-05,-3.094653772459992069e+00,9.306777548083717752e-03,-6.470573573374304388e+00,2.927916982273923718e-01
1.060000000000000053e+00,3.385603083652103957e-03,1.582785720676812896e-05,8.911906444564746598e-05,1.527081781011769226e-05,-3.059571227957571971e+00,9.432667534826220251e-03,-7.175506574722263053e+00,3.473835319659663856e-01
1.080000000000000071e+00,3.182232508943289538e-03,1.522639141431159802e-05,1.598279361719037782e-04,1.471033854643741318e-05,-2.961350422540393268e+00,9.942365100986597440e-03,-6.511015468993781141e+00,1.909398852924593104e-01
1.100000000000000089e+00,2.784360235074505481e-03,1.470351317474911557e-05,1.094249541142211030e-04,1.418935102351936835e-05,-3.154045022424524447e+00,1.070048988274456200e-02,-6.205543234566794908e+00,2.633222478241084019e-01
1.100000000000000089e+00,2.826960024594186820e-03,1.469996139549674555e-05,1.001694121748482167e-04,1.420112349583862156e-05,-3.072110397775408508e+00,1.075927469653292952e-02,-6.625183389722365312e+00,2.930327665017730121e-01
1.120000000000000107e+00,2.673083484621601672e-03,1.415254427726533140e-05,7.909264818683116197e-05,1.367120820867362306e-05,-3.096449156383191514e+00,1.071590556364377007e-02,-6.803477493114956864e+00,3.506417485255851618e-01
1.139999999999999902e+00,2.447750979279725292e-03,1.365411367110729154e-05,9.671405393083693793e-05,1.319696260212333022e-05,-3.072370007668776548e+00,1.142405931659095687e-02,-6.637273512100196449e+00,2.784850090887072693e-01
1.159999999999999920e+00,2.355772000812444197e-03,1.319570178719847120e-05,9.951352751794674480e-05,1.276760553320365722e-05,-3.078216980500914524e+00,1.142004975066353116e-02,-7.178637233316413457e+00,2.602261756194007569e-01
1.179999999999999938e+00,2.305950775996407510e-03,1.274736245810950791e-05,9.203517435685270882e-05,1.232351481055471085e-05,-3.145818456055361700e+00,1.141947135226166997e-02,-6.718823722436559898e+00,2.777939421374744922e-01
1.199999999999999956e+00,2.275230126632963278e-03,1.235180182015367495e-05,2.274323216011651732e-04,1.189090761662188867e-05,-3.491055367574162460e+00,1.096916943259809533e-02,-7.763110541932282338e+00,1.069601245747691665e-01
1.199999999999999956e+00,2.079109160574865896e-03,1.231340777216052921e-05,2.901631543259150232e-04,1.193858129803585327e-05,-3.391646904977429600e+00,1.199820050864669821e-02,-7.916191629834051113e+00,8.217257184268619841e-02
1.219999999999999973e+00,2.196840010845977579e-03,1.194137404533398541e-05,7.020540794081911473e-05,1.154418700660598265e-05,-3.630186241034454753e+00,1.100341162113341147e-02,-6.437947451948065947e+00,3.315234058384757265e-01
1.239999999999999991e+00,2.118375179256177642e-03,1.154567473991776634e-05,5.903418599469283145e-04,1.116537532626627786e-05,-3.537022694619611052e+00,1.115227404425626206e-02,-5.056341960622234843e+00,3.859899276322343448e-02
1.260000000000000009e+00,2.013257258596841490e-03,1.118740506018150896e-05,2.568533432584851959e-04,1.080710639736925942e-05,-3.533122220188603890e+00,1.123397099891980562e-02,-5.209248638238651807e+00,8.450277759940202915e-02
1.280000000000000027e+00,2.013279367548337015e-03,1.085709429997249331e-05,3.885452476878307093e-04,1.046861752813335186e-05,-3.824160469925285355e+00,1.118714669697471083e-02,-5.073658311768880935e+00,5.609064406611431741e-02
1.300000000000000044e+00,1.778420955210486838e-03,1.051408175154034119e-05,6.988328139584813249e-05,1.017145545839647488e-05,-3.102216861100377976e+00,1.201379337488640148e-02,-6.750754920571434781e+00,2.941927651488587814e-01
1.300000000000000044e+00,1.804385698452858414e-03,1.050984754414209934e-05,1.442836604681314535e-04,1.016632664687103602e-05,-3.667183280759256370e+00,1.179861263450361630e-02,-5.520775091021635106e+00,1.416893396132903327e-01
1.320000000000000062e+00,1.770841999248685961e-03,1.020287644481940259e-05,4.487104928565082822e-05,9.861249272206616464e-06,-3.171192134980620025e+00,1.183265012511994750e-02,-6.225402652464156361e+00,4.505088595334389434e-01
1.340000000000000080e+00,1.712692975699225007e-03,9.890102743507559794e-06,7.369186418892099510e-05,9.553712610560680232e-06,-3.119372618474576253e+00,1.186870253937457979e-02,-6.133146738412950327e+00,2.661869060078754234e-01
1.360000000000000320e+00,1.692521953444915683e-03,9.617238708352332912e-06,7.270482903859547795e-05,9.280219926423539519e-06,-3.135087305479554942e+00,1.165303569103332340e-02,-6.586622927047228515e+00,2.623995997423294591e-01
1.379999999999999893e+00,1.646715008297629278e-03,9.345233398943456778e-06,5.059150911532534807e-05,9.023490284169232096e-06,-3.103571882833626283e+00,1.142649566118796728e-02,-6.460530834895103602e+00,3.593250631453734911e-01
1.399999999999999911e+00,1.604350772774894469e-03,9.067737221733283877e-06,3.758670357819874242e-05,8.766589090486073325e-06,-3.118007182247954923e+00,1.138996410589854236e-02,-4.863598993370284340e+00,4.674073670033114802e-01
1.399999999999999911e+00,1.612813327656925947e-03,9.065851833930684193e-06,5.188616923842566636e-05,8.755151528224602620e-06,-3.137980939659014368e+00,1.136591788942072773e-02,-6.601836181853771635e+00,3.414167716356755200e-01
1.419999999999999929e+00,1.573531101915315571e-03,8.809833628625978027e-06,6.113715949048132217e-05,8.509665482539853870e-06,-3.149037275193048657e+00,1.130565664817353121e-02,-6.110850657224976779e+00,2.809359136214016339e-01
1.439999999999999947e+00,1.545910929300387676e-03,8.572017950039473793e-06,6.730551999495400380e-05,8.279768617183073351e-06,-3.093262310521483371e+00,1.136197907354957043e-02,-6.795729468854053934e+00,2.526236760415824234e-01
1.459999999999999964e+00,1.516586903910344033e-03,8.319803461478558483e-06,5.869814489298262117e-05,8.049352016925722273e-06,-3.118408919385045941e+00,1.127107133113942894e-02,-7.085975740688541080e+00,2.800543857588645436e-01
1.480000000000000204e+00,1.502018353916505407e-03,8.117763444812714109e-06,5.550667370608678119e-05,7.835385470807861483e-06,-3.132181820953922724e+00,1.105521487702322211e-02,-6.107789936285879406e+00,2.888538231650297772e-01
1.500000000000000000e+00,1.457912687277350492e-03,7.895823996743047028e-06,6.987698448698393902e-05,7.626320185642465170e-06,-3.136599232309873031e+00,1.114851200103199498e-02,-5.978460655799946011e+00,2.249286674446849543e-01
1.600000000000000089e+00,1.364859854994556875e-03,6.936758071740855106e-06,5.568664807336908695e-05,6.695421347473351576e-06,-3.118447649059650217e+00,1.053967130348556699e-02,-6.171046171397220448e+00,2.496402812109487501e-01
1.699999999999999956e+00,1.292121655768630828e-03,6.155416172619530249e-06,7.519736548028476775e-05,5.937931486669389397e-06,-3.122604340690517510e+00,9.716552833344395054e-03,-5.122672367666112336e+00,1.620161100689649358e-01
1.800000000000000044e+00,1.247073714132020681e-03,5.485349697546328614e-06,2.205430631836865737e-04,5.290360574670111181e-06,-3.127490616489835507e+00,8.848487570206174310e-03,-7.635318768755547936e+00,4.843737965299319687e-02
1.899999999999999911e+00,1.186258734557959528e-03,4.923757848462690650e-06,9.228972421732902073e-05,4.751829618261345714e-06,-3.136725671049164887e+00,8.345181976159266393e-03,-6.649517591437072994e+00,1.037934645772760345e-01
2.000000000000000000e+00,1.151095580431614647e-03,4.441222922418447688e-06,7.960276904368902915e-05,4.287606316571683580e-06,-3.136993396980438220e+00,7.860181981619767180e-03,-6.917078369139062488e+00,1.100351818864340192e-01
2.100000000000000089e+00,1.127583193293256545e-03,4.029464613905825064e-06,8.742537613844441734e-05,3.893993243479007781e-06,-3.161245510716579332e+00,7.321740782901116525e-03,-6.864621878408198263e+00,9.096320706762368868e-02
2.200000000000000178e+00,1.095534578318487504e-03,3.674078221397013435e-06,7.167402363370079595e-05,3.547419202731061962e-06,-3.165537756646768841e+00,6.809981090283528590e-03,-6.537047301327060467e+00,1.005809317105155060e-01
2.299999999999999822e+00,1.077896990867890188e-03,3.361006100638648216e-06,8.038842634116732954e-05,3.244494957321077413e-06,-3.181332884771679304e+00,6.259673948473340986e-03,-6.612940453943860319e+00,8.117005809475322242e-02
2.399999999999999911e+00,1.067488535293944704e-03,3.085540384664778877e-06,8.797144527610414411e-05,2.979953889649118800e-06,-3.178511562606696650e+00,5.808613843288054635e-03,-6.439782852631884325e+00,6.807880995165617455e-02
2.500000000000000000e+00,1.039705215801200620e-03,2.842424359655035613e-06,9.487799179361620764e-05,2.744660053297450437e-06,-3.182772497239273690e+00,5.577109303790410595e-03,-6.428950172980715472e+00,5.901325703824000790e-02
