Freq_x, PSD_x, Freq_y, PSD_y, Freq_z, PSD_z
3.225806451612903136e-02,8.976827071491515068e-05,3.225806451612903136e-02,1.438221028295656831e-04,3.225806451612903136e-02,4.217894622337840007e-05
6.451612903225806273e-02,7.856573964889014062e-05,6.451612903225806273e-02,1.274058613909694081e-04,6.451612903225806273e-02,3.733640063474849005e-05
9.677419354838709409e-02,5.854132052523419651e-05,9.677419354838709409e-02,1.160339623088037063e-04,9.677419354838709409e-02,3.573209190036557550e-05
1.290322580645161255e-01,4.966748247784801544e-05,1.290322580645161255e-01,1.188502350147991411e-04,1.290322580645161255e-01,3.235118583051093451e-05
1.612903225806451568e-01,4.174662573596670017e-05,1.612903225806451568e-01,1.026297320958511412e-04,1.612903225806451568e-01,3.282893108953787234e-05
1.935483870967741882e-01,3.622002915961869835e-05,1.935483870967741882e-01,1.105107876342575223e-04,1.935483870967741882e-01,2.807566943869365547e-05
2.258064516129032195e-01,2.943032159576472229e-05,2.258064516129032195e-01,1.164826516435798359e-04,2.258064516129032195e-01,3.171376508795083812e-05
2.580645161290322509e-01,2.386604788296149644e-05,2.580645161290322509e-01,1.064134663653582772e-04,2.580645161290322509e-01,2.788997910850682960e-05
2.903225806451612545e-01,2.151875950200009271e-05,2.903225806451612545e-01,1.258288094887687427e-04,2.903225806451612545e-01,3.201204510467285631e-05
3.225806451612903136e-01,2.041228148239542691e-05,3.225806451612903136e-01,1.093988874406764039e-04,3.225806451612903136e-01,3.494286651620803525e-05
3.548387096774193727e-01,1.828834663085225474e-05,3.548387096774193727e-01,1.205272045393946377e-04,3.548387096774193727e-01,3.525040044475823424e-05
3.870967741935483764e-01,2.392166998402094329e-05,3.870967741935483764e-01,1.240805196937219126e-04,3.870967741935483764e-01,3.789087094516145463e-05
4.193548387096773800e-01,3.138473281937921084e-05,4.193548387096773800e-01,1.013357855805872127e-04,4.193548387096773800e-01,3.248763817574191586e-05
4.516129032258064391e-01,3.126486008745875731e-05,4.516129032258064391e-01,1.185708852554514750e-04,4.516129032258064391e-01,3.829914565454116979e-05
4.838709677419354982e-01,3.668696581286731820e-05,4.838709677419354982e-01,9.918625165143803233e-05,4.838709677419354982e-01,3.929455574840132572e-05
5.161290322580645018e-01,3.611093024272640735e-05,5.161290322580645018e-01,1.026270817993845319e-04,5.161290322580645018e-01,4.022432909356119234e-05
5.483870967741935054e-01,3.544439100980608455e-05,5.483870967741935054e-01,1.139776897121065971e-04,5.483870967741935054e-01,4.439915485893203989e-05
5.806451612903225090e-01,3.624275996970811154e-05,5.806451612903225090e-01,1.070923943521711545e-04,5.806451612903225090e-01,3.999474755573003646e-05
6.129032258064516236e-01,4.149387847434998951e-05,6.129032258064516236e-01,1.201482196339317851e-04,6.129032258064516236e-01,3.886338433532199457e-05
6.451612903225806273e-01,5.906750735713973521e-05,6.451612903225806273e-01,1.282868361746488067e-04,6.451612903225806273e-01,3.679068783694039831e-05
6.774193548387096309e-01,9.892057928109257144e-05,6.774193548387096309e-01,1.185055156709697427e-04,6.774193548387096309e-01,3.391214008083402742e-05
7.096774193548387455e-01,1.419800132534632879e-04,7.096774193548387455e-01,1.411796660913284813e-04,7.096774193548387455e-01,3.417005392059564939e-05
7.419354838709677491e-01,4.114863217447696313e-04,7.419354838709677491e-01,1.286983751350728332e-04,7.419354838709677491e-01,3.095723867758031948e-05
7.741935483870967527e-01,8.050943902351871684e-04,7.741935483870967527e-01,1.406409878673773727e-04,7.741935483870967527e-01,3.160905677604075267e-05
8.064516129032257563e-01,1.767063054729833219e-03,8.064516129032257563e-01,1.671540408036549215e-04,8.064516129032257563e-01,3.279848236966192087e-05
8.387096774193547599e-01,6.725422641316424442e-03,8.387096774193547599e-01,2.147424452068485989e-04,8.387096774193547599e-01,3.608777759947551418e-05
8.709677419354838745e-01,5.212893977656349320e-02,8.709677419354838745e-01,5.335355669176516241e-04,8.709677419354838745e-01,3.607187106752917657e-05
9.032258064516128782e-01,4.774365288946004482e-02,9.032258064516128782e-01,4.309668092218257315e-05,9.032258064516128782e-01,4.082807782941719633e-05
9.354838709677418818e-01,7.700157884028015730e-03,9.354838709677418818e-01,2.941939596179237728e-05,9.354838709677418818e-01,4.257283674186641245e-05
9.677419354838709964e-01,2.532120460399541525e-03,9.677419354838709964e-01,7.134056927398750570e-05,9.677419354838709964e-01,4.536219280406590226e-05
1.000000000000000000e+00,1.667405446779928434e-03,1.000000000000000000e+00,6.760911506236856453e-05,1.000000000000000000e+00,4.925105954994713343e-05
1.032258064516129004e+00,7.532114766002277577e-04,1.032258064516129004e+00,9.134694659810471294e-05,1.032258064516129004e+00,5.232024026541150973e-05
1.064516129032258007e+00,6.315879953032602426e-04,1.064516129032258007e+00,9.686473767929243330e-05,1.064516129032258007e+00,4.798542185914360798e-05
1.096774193548387011e+00,4.697652740596857789e-04,1.096774193548387011e+00,7.955563216984998947e-05,1.096774193548387011e+00,4.819240820256766994e-05
1.129032258064516014e+00,2.723816904328331184e-04,1.129032258064516014e+00,9.211660865592562458e-05,1.129032258064516014e+00,4.357617874362850450e-05
1.161290322580645018e+00,3.154458323384079130e-04,1.161290322580645018e+00,7.692182630551734081e-05,1.161290322580645018e+00,4.343074101941468929e-05
1.193548387096774244e+00,2.368586617785746224e-04,1.193548387096774244e+00,9.488440159675625156e-05,1.193548387096774244e+00,3.603252108091464692e-05
1.225806451612903247e+00,2.099630123669003594e-04,1.225806451612903247e+00,1.035741171260128897e-04,1.225806451612903247e+00,4.251256071287418456e-05
1.258064516129032251e+00,2.822388672661889624e-04,1.258064516129032251e+00,1.030094589694853177e-04,1.258064516129032251e+00,3.497691951171751209e-05
1.290322580645161255e+00,2.104762576937864709e-04,1.290322580645161255e+00,1.234462378791248557e-04,1.290322580645161255e+00,3.984577367548629523e-05
1.322580645161290258e+00,2.807292873766939630e-04,1.322580645161290258e+00,1.195637467719551665e-04,1.322580645161290258e+00,4.152060182502644812e-05
1.354838709677419262e+00,2.547142012713689979e-04,1.354838709677419262e+00,1.240278552212669566e-04,1.354838709677419262e+00,4.031432045621761979e-05
1.387096774193548265e+00,2.169886687228950281e-04,1.387096774193548265e+00,1.438785747216181766e-04,1.387096774193548265e+00,4.033131093897219908e-05
1.419354838709677491e+00,2.693823182868492730e-04,1.419354838709677491e+00,1.137103225384885735e-04,1.419354838709677491e+00,5.001524209312530609e-05
1.451612903225806495e+00,1.881182731440687005e-04,1.451612903225806495e+00,1.309980239209943443e-04,1.451612903225806495e+00,5.337760168887254104e-05
1.483870967741935498e+00,1.954195997657587390e-04,1.483870967741935498e+00,1.283819336100999579e-04,1.483870967741935498e+00,4.856868243556233800e-05
1.516129032258064502e+00,1.795831820256123344e-04,1.516129032258064502e+00,1.382362807103364817e-04,1.516129032258064502e+00,5.249398316249829989e-05
1.548387096774193505e+00,1.341430306503841739e-04,1.548387096774193505e+00,1.684399768802915479e-04,1.548387096774193505e+00,5.831785818758550679e-05
1.580645161290322509e+00,1.526161315936644630e-04,1.580645161290322509e+00,1.775101495815024574e-04,1.580645161290322509e+00,5.428812164820990334e-05
