# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-2.156134399999999895e-01	-1.505494037421448994e-01	1.247490951800700118e-02
-2.155871199999999932e-01	3.759564484942511386e-01	4.235639097294750799e-02
-2.155607999999999969e-01	8.950467253470359985e-01	2.741565024547725632e-02
-2.155344800000000005e-01	-5.843605636834008354e-01	1.247490951800700118e-02
-2.155081599999999764e-01	-7.268586221422718152e-02	2.741565024547725632e-02
-2.154818399999999801e-01	4.760667161730025021e-01	8.739724336139436528e-03
-2.154555199999999837e-01	9.988647807175929927e-01	3.862120579107995028e-02
-2.154291999999999874e-01	-5.102048098472886650e-01	1.994527988174212701e-02
-2.154028799999999910e-01	3.113219315632978143e-02	3.115083542734482097e-02
-2.153765599999999947e-01	5.761769838517538656e-01	2.368046506360969167e-02
-2.153502399999999983e-01	-9.403081820967389426e-01	3.115083542734482097e-02
-2.153239200000000020e-01	-3.841400283258981085e-01	1.994527988174212701e-02
-2.152975999999999779e-01	1.609047623695259999e-01	8.739724336139436528e-03
-2.152712799999999815e-01	6.911184022977276964e-01	8.739724336139436528e-03
-2.152449599999999852e-01	-8.142434005753483861e-01	1.247490951800700118e-02
-2.152186399999999888e-01	-3.025686991061747322e-01	3.115083542734482097e-02
-2.151923199999999925e-01	2.721383931236941445e-01	2.741565024547725632e-02
-2.151659999999999962e-01	8.023520330518958410e-01	3.488602060921238562e-02
-2.151396799999999998e-01	-7.326720713556250653e-01	3.115083542734482097e-02
-2.151133599999999757e-01	-1.802117052765897509e-01	3.862120579107995028e-02
-2.150870399999999794e-01	3.722486608024455079e-01	1.994527988174212701e-02
-2.150607199999999830e-01	9.135856638060639856e-01	2.368046506360969167e-02
-2.150343999999999867e-01	-6.214384406014569207e-01	1.621009469987456583e-02
-2.150080799999999903e-01	-5.414692375519915973e-02	1.247490951800700118e-02
-2.149817599999999940e-01	4.797745038648081328e-01	1.247490951800700118e-02
-2.149554399999999976e-01	1.009988143793009829e+00	4.235639097294750799e-02
-2.149291200000000013e-01	-5.213281729227055017e-01	3.115083542734482097e-02
-2.149027999999999772e-01	3.854776853994099084e-02	4.235639097294750799e-02
-2.148764799999999808e-01	5.613458330845314537e-01	8.739724336139436528e-03
-2.148501599999999845e-01	-9.514315451721557793e-01	2.741565024547725632e-02
-2.148238399999999881e-01	-4.100945421685373571e-01	2.741565024547725632e-02
-2.147975199999999918e-01	1.534891869859147662e-01	2.368046506360969167e-02
-2.147711999999999954e-01	6.911184022977276964e-01	2.741565024547725632e-02
-2.147448799999999991e-01	-8.290745513425707980e-01	3.488602060921238562e-02
-2.147185600000000028e-01	-2.617830344963130718e-01	2.368046506360969167e-02
-2.146922399999999787e-01	2.573072423564717326e-01	8.739724336139436528e-03
-2.146659199999999823e-01	7.838130945928678539e-01	1.247490951800700118e-02
-2.146395999999999860e-01	-7.141331328965970782e-01	1.994527988174212701e-02
-2.146132799999999896e-01	-1.468416160503392964e-01	4.235639097294750799e-02
-2.145869599999999933e-01	3.759564484942511386e-01	3.115083542734482097e-02
-2.145606399999999969e-01	8.876311499634247371e-01	3.115083542734482097e-02
-2.145343200000000006e-01	-6.177306529096512344e-01	5.004539154271873611e-03
-2.145079999999999765e-01	-5.785471144700476270e-02	3.488602060921238562e-02
-2.144816799999999801e-01	4.575277777139744595e-01	5.004539154271873611e-03
-2.144553599999999838e-01	1.009988143793009829e+00	1.994527988174212701e-02
-2.144290399999999874e-01	-5.064970221554830898e-01	8.739724336139436528e-03
-2.144027199999999911e-01	3.113219315632978143e-02	1.621009469987456583e-02
-2.143763999999999947e-01	5.761769838517538656e-01	4.235639097294750799e-02
-2.143500799999999984e-01	-9.217692436377109555e-01	4.609157615481507264e-02
-2.143237600000000020e-01	-3.989711790931205204e-01	2.741565024547725632e-02
-2.142974399999999779e-01	1.534891869859147662e-01	3.115083542734482097e-02
-2.142711199999999816e-01	6.762872515305051735e-01	4.235639097294750799e-02
-2.142447999999999853e-01	-8.179511882671539613e-01	4.235639097294750799e-02
-2.142184799999999889e-01	-2.729063975717299084e-01	3.488602060921238562e-02
-2.141921599999999926e-01	2.498916669728605267e-01	2.741565024547725632e-02
-2.141658399999999962e-01	7.912286699764790043e-01	4.235639097294750799e-02
-2.141395199999999999e-01	-7.289642836638194900e-01	4.609157615481507264e-02
-2.141131999999999758e-01	-1.765039175847841479e-01	3.115083542734482097e-02
-2.140868799999999794e-01	3.277552085007782723e-01	4.235639097294750799e-02
-2.140605599999999831e-01	9.135856638060639856e-01	1.621009469987456583e-02
-2.140342399999999867e-01	-6.214384406014569207e-01	3.115083542734482097e-02
-2.140079199999999904e-01	-8.010143759783840134e-02	3.115083542734482097e-02
-2.139815999999999940e-01	4.760667161730025021e-01	1.247490951800700118e-02
-2.139552799999999977e-01	1.013695931484815294e+00	4.982676133668263729e-02
-2.139289600000000013e-01	-5.139125975390943513e-01	3.115083542734482097e-02
-2.139026399999999772e-01	4.967113161535781363e-02	2.741565024547725632e-02
-2.138763199999999809e-01	5.873003469271707022e-01	2.741565024547725632e-02
-2.138499999999999845e-01	-9.254770313295165307e-01	2.368046506360969167e-02
-2.138236799999999882e-01	-4.212179052439541382e-01	2.741565024547725632e-02
-2.137973599999999919e-01	1.460736116023035602e-01	1.247490951800700118e-02
-2.137710399999999955e-01	6.762872515305051735e-01	5.004539154271873611e-03
-2.137447199999999992e-01	-8.364901267261820594e-01	3.115083542734482097e-02
-2.137184000000000028e-01	-2.840297606471467451e-01	5.004539154271873611e-03
-2.136920799999999787e-01	2.647228177400829385e-01	2.741565024547725632e-02
-2.136657599999999824e-01	7.986442453600902658e-01	4.235639097294750799e-02
-2.136394399999999860e-01	-7.104253452047913919e-01	2.368046506360969167e-02
-2.136131199999999897e-01	-1.765039175847841479e-01	4.235639097294750799e-02
-2.135867999999999933e-01	3.685408731106399327e-01	4.235639097294750799e-02
-2.135604799999999970e-01	8.913389376552304233e-01	3.115083542734482097e-02
-2.135341600000000006e-01	-6.103150775260400840e-01	1.994527988174212701e-02
-2.135078399999999765e-01	-4.673134837158794685e-02	3.488602060921238562e-02
-2.134815199999999802e-01	4.834822915566137080e-01	1.994527988174212701e-02
-2.134551999999999838e-01	1.009988143793009829e+00	2.741565024547725632e-02
-2.134288799999999875e-01	-4.990814467718718284e-01	2.368046506360969167e-02
-2.134025599999999911e-01	6.821007007438584235e-02	3.115083542734482097e-02
-2.133762399999999948e-01	5.761769838517538656e-01	4.235639097294750799e-02
-2.133499199999999985e-01	-9.217692436377109555e-01	4.235639097294750799e-02
-2.133236000000000021e-01	-3.618933021750644352e-01	2.741565024547725632e-02
-2.132972799999999780e-01	1.497813992941091632e-01	1.994527988174212701e-02
-2.132709599999999817e-01	6.837028269141164349e-01	1.269353972404309826e-03
-2.132446399999999853e-01	-8.290745513425707980e-01	2.368046506360969167e-02
-2.132183199999999890e-01	-2.691986098799242777e-01	8.739724336139436528e-03
-2.131919999999999926e-01	2.535994546646661574e-01	1.621009469987456583e-02
-2.131656799999999963e-01	7.801053069010621677e-01	1.994527988174212701e-02
-2.131393599999999999e-01	-7.215487082802082286e-01	2.368046506360969167e-02
-2.131130399999999758e-01	-1.876272806602009846e-01	1.247490951800700118e-02
-2.130867199999999795e-01	3.685408731106399327e-01	2.368046506360969167e-02
-2.130603999999999831e-01	9.061700884224528352e-01	4.982676133668263729e-02
-2.130340799999999868e-01	-6.177306529096512344e-01	2.741565024547725632e-02
-2.130077599999999904e-01	-2.819240991255991466e-02	1.269353972404309826e-03
-2.129814399999999941e-01	4.797745038648081328e-01	4.235639097294750799e-02
-2.129551199999999977e-01	1.024819294560232130e+00	1.621009469987456583e-02
-2.129288000000000014e-01	-4.842502960046494720e-01	2.368046506360969167e-02
-2.129024799999999773e-01	5.337891930716341660e-02	2.741565024547725632e-02
-2.128761599999999810e-01	5.910081346189762774e-01	1.621009469987456583e-02
-2.128498399999999846e-01	-9.440159697885446288e-01	2.368046506360969167e-02
-2.128235199999999883e-01	-3.841400283258981085e-01	4.235639097294750799e-02
-2.127971999999999919e-01	1.831514885203596177e-01	1.621009469987456583e-02
-2.127708799999999956e-01	6.837028269141164349e-01	2.741565024547725632e-02
-2.127445599999999992e-01	-8.216589759589596476e-01	3.488602060921238562e-02
-2.127182400000000029e-01	-2.840297606471467451e-01	8.739724336139436528e-03
-2.126919199999999788e-01	2.387683038974437177e-01	8.739724336139436528e-03
-2.126655999999999824e-01	8.060598207437014162e-01	2.368046506360969167e-02
-2.126392799999999861e-01	-7.252564959720138038e-01	2.368046506360969167e-02
-2.126129599999999897e-01	-1.690883422011729420e-01	1.994527988174212701e-02
-2.125866399999999934e-01	3.537097223434175208e-01	1.994527988174212701e-02
-2.125603199999999970e-01	8.987545130388415737e-01	8.739724336139436528e-03
-2.125340000000000007e-01	-6.140228652178456592e-01	2.741565024547725632e-02
-2.125076799999999766e-01	-5.785471144700476270e-02	1.994527988174212701e-02
-2.124813599999999802e-01	4.723589284811968714e-01	8.739724336139436528e-03
-2.124550399999999839e-01	1.021111506868426666e+00	2.741565024547725632e-02
-2.124287199999999876e-01	-4.990814467718718284e-01	4.982676133668263729e-02
-2.124023999999999912e-01	5.337891930716341660e-02	1.247490951800700118e-02
-2.123760799999999949e-01	5.947159223107818526e-01	3.115083542734482097e-02
-2.123497599999999985e-01	-9.069380928704885436e-01	2.741565024547725632e-02
-2.123234400000000022e-01	-3.804322406340924778e-01	1.247490951800700118e-02
-2.122971199999999781e-01	1.534891869859147662e-01	2.741565024547725632e-02
-2.122707999999999817e-01	6.948261899895332716e-01	5.004539154271873611e-03
-2.122444799999999854e-01	-8.253667636507652228e-01	2.741565024547725632e-02
-2.122181599999999890e-01	-2.840297606471467451e-01	1.994527988174212701e-02
-2.121918399999999927e-01	2.535994546646661574e-01	5.004539154271873611e-03
-2.121655199999999963e-01	8.097676084355069914e-01	4.235639097294750799e-02
-2.121392000000000000e-01	-7.104253452047913919e-01	4.609157615481507264e-02
-2.121128799999999759e-01	-1.690883422011729420e-01	3.862120579107995028e-02
-2.120865599999999795e-01	3.759564484942511386e-01	2.368046506360969167e-02
-2.120602399999999832e-01	9.061700884224528352e-01	1.994527988174212701e-02
-2.120339199999999868e-01	-5.991917144506232473e-01	4.982676133668263729e-02
-2.120075999999999905e-01	-7.268586221422718152e-02	2.368046506360969167e-02
-2.119812799999999942e-01	4.797745038648081328e-01	3.862120579107995028e-02
-2.119549599999999978e-01	1.009988143793009829e+00	2.741565024547725632e-02
-2.119286400000000015e-01	-4.990814467718718284e-01	3.862120579107995028e-02
-2.119023199999999774e-01	6.821007007438584235e-02	3.488602060921238562e-02
-2.118759999999999810e-01	5.873003469271707022e-01	8.739724336139436528e-03
-2.118496799999999847e-01	-9.180614559459053803e-01	2.741565024547725632e-02
-2.118233599999999883e-01	-3.804322406340924778e-01	1.994527988174212701e-02
-2.117970399999999920e-01	1.497813992941091632e-01	3.862120579107995028e-02
-2.117707199999999956e-01	6.799950392223108597e-01	3.488602060921238562e-02
-2.117443999999999993e-01	-8.068278251917371247e-01	1.994527988174212701e-02
-2.117180800000000029e-01	-2.691986098799242777e-01	2.368046506360969167e-02
-2.116917599999999788e-01	2.758461808154997752e-01	3.115083542734482097e-02
-2.116654399999999825e-01	8.060598207437014162e-01	2.368046506360969167e-02
-2.116391199999999861e-01	-7.030097698211802415e-01	2.741565024547725632e-02
-2.116127999999999898e-01	-1.690883422011729420e-01	2.741565024547725632e-02
-2.115864799999999935e-01	3.907875992614735505e-01	3.115083542734482097e-02
-2.115601599999999971e-01	9.061700884224528352e-01	5.004539154271873611e-03
-2.115338400000000008e-01	-5.769449882997895740e-01	3.488602060921238562e-02
-2.115075199999999767e-01	-5.414692375519915973e-02	-2.465831209463253959e-03
-2.114811999999999803e-01	4.983134423238361199e-01	2.368046506360969167e-02
-2.114548799999999840e-01	1.024819294560232130e+00	3.115083542734482097e-02
-2.114285599999999876e-01	-4.768347206210382661e-01	2.741565024547725632e-02
-2.114022399999999913e-01	6.079449469077462948e-02	2.741565024547725632e-02
-2.113759199999999949e-01	5.947159223107818526e-01	2.741565024547725632e-02
-2.113495999999999986e-01	-9.069380928704885436e-01	2.368046506360969167e-02
-2.113232800000000022e-01	-3.730166652504812719e-01	1.247490951800700118e-02
-2.112969599999999781e-01	1.609047623695259999e-01	4.235639097294750799e-02
-2.112706399999999818e-01	6.985339776813388468e-01	3.488602060921238562e-02
-2.112443199999999854e-01	-8.179511882671539613e-01	2.368046506360969167e-02
-2.112179999999999891e-01	-2.803219729553411144e-01	3.862120579107995028e-02
-2.111916799999999927e-01	2.684306054318885693e-01	3.488602060921238562e-02
-2.111653599999999964e-01	7.763975192092565925e-01	1.247490951800700118e-02
-2.111390400000000001e-01	-6.881786190539578296e-01	3.862120579107995028e-02
-2.111127199999999760e-01	-1.727961298929785450e-01	1.994527988174212701e-02
-2.110863999999999796e-01	3.796642361860567694e-01	1.994527988174212701e-02
-2.110600799999999833e-01	9.024623007306471489e-01	3.115083542734482097e-02
-2.110337599999999869e-01	-6.028995021424288225e-01	1.994527988174212701e-02
-2.110074399999999906e-01	-4.302356067978233695e-02	1.247490951800700118e-02
-2.109811199999999942e-01	4.797745038648081328e-01	3.488602060921238562e-02
-2.109547999999999979e-01	1.009988143793009829e+00	2.368046506360969167e-02
-2.109284800000000015e-01	-4.842502960046494720e-01	3.115083542734482097e-02
-2.109021599999999774e-01	4.596334392355220372e-02	2.368046506360969167e-02
-2.108758399999999811e-01	6.132548607698099508e-01	3.862120579107995028e-02
-2.108495199999999847e-01	-9.291848190213222169e-01	3.488602060921238562e-02
-2.108231999999999884e-01	-3.767244529422869026e-01	1.621009469987456583e-02
-2.107968799999999920e-01	1.683203377531372058e-01	3.115083542734482097e-02
-2.107705599999999957e-01	6.985339776813388468e-01	4.235639097294750799e-02
-2.107442399999999993e-01	-8.105356128835428109e-01	4.235639097294750799e-02
-2.107179200000000030e-01	-2.580752468045074965e-01	1.994527988174212701e-02
-2.106915999999999789e-01	2.721383931236941445e-01	3.488602060921238562e-02
-2.106652799999999826e-01	8.171831838191182529e-01	4.235639097294750799e-02
-2.106389599999999862e-01	-7.141331328965970782e-01	1.994527988174212701e-02
-2.106126399999999899e-01	-1.431338283585336935e-01	4.235639097294750799e-02
-2.105863199999999935e-01	3.648330854188343020e-01	2.741565024547725632e-02
-2.105599999999999972e-01	8.876311499634247371e-01	1.247490951800700118e-02
-2.105336800000000008e-01	-5.843605636834008354e-01	3.862120579107995028e-02
-2.105073599999999767e-01	-5.043913606339354982e-02	8.739724336139436528e-03
-2.104810399999999804e-01	4.946056546320305447e-01	3.488602060921238562e-02
-2.104547199999999840e-01	1.024819294560232130e+00	1.621009469987456583e-02
-2.104283999999999877e-01	-4.694191452374270046e-01	2.741565024547725632e-02
-2.104020799999999913e-01	7.933343314980266514e-02	2.368046506360969167e-02
-2.103757599999999950e-01	5.798847715435594408e-01	1.994527988174212701e-02
-2.103494399999999986e-01	-9.069380928704885436e-01	1.621009469987456583e-02
-2.103231200000000023e-01	-3.767244529422869026e-01	3.115083542734482097e-02
-2.102967999999999782e-01	1.683203377531372058e-01	2.741565024547725632e-02
-2.102704799999999818e-01	7.059495530649501083e-01	1.621009469987456583e-02
-2.102441599999999855e-01	-8.290745513425707980e-01	2.741565024547725632e-02
-2.102178399999999892e-01	-2.506596714208962906e-01	3.862120579107995028e-02
