# Acquisizione Analog Discovery 2 - Lunga durata
# time	ch1	ch2
-8.152000000000000357e-01	6.132548607698099508e-01	1.994527988174212701e-02
-8.151000000000000467e-01	5.910081346189762774e-01	2.368046506360969167e-02
-8.150000000000000577e-01	5.724691961599482903e-01	1.994527988174212701e-02
-8.149000000000000687e-01	5.910081346189762774e-01	8.739724336139436528e-03
-8.148000000000000798e-01	6.021314976943931141e-01	2.368046506360969167e-02
-8.147000000000000908e-01	5.910081346189762774e-01	3.488602060921238562e-02
-8.145999999999999908e-01	6.058392853861986893e-01	3.488602060921238562e-02
-8.145000000000000018e-01	6.021314976943931141e-01	1.621009469987456583e-02
-8.144000000000000128e-01	6.058392853861986893e-01	1.247490951800700118e-02
-8.143000000000000238e-01	6.021314976943931141e-01	2.368046506360969167e-02
-8.142000000000000348e-01	5.835925592353651270e-01	4.982676133668263729e-02
-8.141000000000000458e-01	5.947159223107818526e-01	3.488602060921238562e-02
-8.140000000000000568e-01	5.910081346189762774e-01	3.488602060921238562e-02
-8.139000000000000679e-01	6.058392853861986893e-01	3.115083542734482097e-02
-8.138000000000000789e-01	5.910081346189762774e-01	3.862120579107995028e-02
-8.137000000000000899e-01	6.058392853861986893e-01	5.004539154271873611e-03
-8.135999999999999899e-01	6.021314976943931141e-01	3.488602060921238562e-02
-8.135000000000000009e-01	5.947159223107818526e-01	3.862120579107995028e-02
-8.134000000000000119e-01	6.132548607698099508e-01	3.115083542734482097e-02
-8.133000000000000229e-01	6.021314976943931141e-01	3.115083542734482097e-02
-8.132000000000000339e-01	6.206704361534211012e-01	4.235639097294750799e-02
-8.131000000000000449e-01	6.169626484616155260e-01	4.235639097294750799e-02
-8.130000000000000560e-01	6.132548607698099508e-01	3.488602060921238562e-02
-8.129000000000000670e-01	5.910081346189762774e-01	2.741565024547725632e-02
-8.128000000000000780e-01	6.021314976943931141e-01	4.235639097294750799e-02
-8.127000000000000890e-01	6.280860115370323626e-01	1.247490951800700118e-02
-8.125999999999999890e-01	6.058392853861986893e-01	2.741565024547725632e-02
-8.125000000000000000e-01	6.021314976943931141e-01	1.621009469987456583e-02
-8.124000000000000110e-01	6.169626484616155260e-01	2.368046506360969167e-02
-8.123000000000000220e-01	6.243782238452267874e-01	3.488602060921238562e-02
-8.122000000000000330e-01	6.095470730780042645e-01	2.741565024547725632e-02
-8.121000000000000441e-01	5.873003469271707022e-01	2.368046506360969167e-02
-8.120000000000000551e-01	6.021314976943931141e-01	1.621009469987456583e-02
-8.119000000000000661e-01	6.095470730780042645e-01	4.235639097294750799e-02
-8.118000000000000771e-01	6.095470730780042645e-01	2.368046506360969167e-02
-8.117000000000000881e-01	6.021314976943931141e-01	3.862120579107995028e-02
-8.115999999999999881e-01	6.132548607698099508e-01	2.368046506360969167e-02
-8.114999999999999991e-01	6.169626484616155260e-01	1.247490951800700118e-02
-8.114000000000000101e-01	6.132548607698099508e-01	1.247490951800700118e-02
-8.113000000000000211e-01	6.058392853861986893e-01	1.621009469987456583e-02
-8.112000000000000322e-01	6.206704361534211012e-01	2.741565024547725632e-02
-8.111000000000000432e-01	5.873003469271707022e-01	3.862120579107995028e-02
-8.110000000000000542e-01	6.206704361534211012e-01	2.741565024547725632e-02
-8.109000000000000652e-01	5.947159223107818526e-01	3.488602060921238562e-02
