# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
2.352947185230465493e+03,1.242270053917886807e+00,2.374754326180840013e-04,2.848123871197038248e+00,3.407625835996962800e-04
2.362772886659001870e+03,1.242959809165067542e+00,2.492441433878787469e-04,2.846719744500813221e+00,2.470236928710009940e-04
2.372639619356394633e+03,1.243833290203268271e+00,1.727608780412258739e-04,2.845241805987429817e+00,1.900187188856522556e-04
2.382547554665633015e+03,1.244425140904504179e+00,2.190278243894893198e-04,2.843888137505174551e+00,2.304341619578000185e-04
2.392496864645211190e+03,1.245312493419837185e+00,2.224568160141028594e-04,2.842286795843079972e+00,2.552738220189947906e-04
2.402487722072131874e+03,1.245938043159666275e+00,1.565846100478031572e-04,2.840883726943007836e+00,2.617412587615882877e-04
2.412520300444898567e+03,1.246717745655470111e+00,3.179709268396281509e-04,2.839425576181554334e+00,3.245993255404971338e-04
2.422594773986527343e+03,1.247545609959441304e+00,1.748624987516439282e-04,2.837907857377094167e+00,2.458954734437363530e-04
2.432711317647575015e+03,1.248295951481213084e+00,1.825373023297486696e-04,2.836410224098322885e+00,1.905509418016541575e-04
2.442870107109177297e+03,1.249134771868402494e+00,2.661264736213473205e-04,2.834907385630338617e+00,2.106755049126111359e-04
2.453071318786098345e+03,1.249831677554919196e+00,1.621635759805157770e-04,2.833407324693581586e+00,2.551658418220556002e-04
2.463315129829794387e+03,1.250763656391257861e+00,1.768936166382749082e-04,2.831879790596034230e+00,2.411485957845249889e-04
2.473601718131494181e+03,1.251447914178866361e+00,2.120587554855642664e-04,2.830316626449752793e+00,2.847130165063552253e-04
2.483931262325276748e+03,1.252242223994951331e+00,2.811723139165227107e-04,2.828826914637671663e+00,2.938851272511238321e-04
2.494303941791188663e+03,1.253214192126506754e+00,1.498711617470938702e-04,2.827208845161824691e+00,2.634214417045875221e-04
2.504719936658349525e+03,1.254063838431057842e+00,2.179740341394298734e-04,2.825679228399258225e+00,2.182145246721770102e-04
2.515179427808082437e+03,1.254770064453952116e+00,2.595392528348314503e-04,2.824126330490190906e+00,2.092236225989062401e-04
2.525682596877055403e+03,1.255718362698877488e+00,1.978064653905929756e-04,2.822563673573827536e+00,2.402365111902152477e-04
2.536229626260434088e+03,1.256550242963195174e+00,1.217845919869373604e-04,2.821009727993671667e+00,2.990365596723578031e-04
2.546820699115051411e+03,1.257316342359338313e+00,2.376022203413969357e-04,2.819362610478047593e+00,2.967403783890210523e-04
2.557455999362587136e+03,1.258221924997733776e+00,1.662287419491459829e-04,2.817682737446481678e+00,2.880502749263298928e-04
2.568135711692762015e+03,1.259009468716358437e+00,1.939887004147327774e-04,2.816038142925827881e+00,1.952824845710524374e-04
2.578860021566546493e+03,1.260014440007123815e+00,2.650765909536515678e-04,2.814499634977750464e+00,2.799760297751878262e-04
2.589629115219373034e+03,1.260942544550556432e+00,2.102114318156056763e-04,2.812772191095091578e+00,2.258599657419955358e-04
2.600443179664383933e+03,1.261741868938459188e+00,3.003294024540482270e-04,2.811202576102302952e+00,2.545100022298674961e-04
2.611302402695670935e+03,1.262687343701222487e+00,2.098933131925763158e-04,2.809458060140072710e+00,3.146705273051127899e-04
2.622206972891534861e+03,1.263666240665916041e+00,2.948778360532063503e-04,2.807830875955679595e+00,2.745838932332281160e-04
2.633157079617765703e+03,1.264502267055718887e+00,2.928174097489777612e-04,2.806160986075241226e+00,2.313500118759061956e-04
2.644152913030926811e+03,1.265498340161923974e+00,1.865273482171762019e-04,2.804458121930009096e+00,2.795489278333157263e-04
2.655194664081659084e+03,1.266466824180643158e+00,2.064609556131707870e-04,2.802697703097218440e+00,2.909932878599402273e-04
