# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
2.432711317647575015e+03,1.259805315704614515e+00,2.894168518298354236e-04,2.818644069515538142e+00,2.519025701868273068e-04
2.442870107109177297e+03,1.260427775388678340e+00,5.170005118660438983e-04,2.817020865718518507e+00,2.584863714706286627e-04
2.453071318786098345e+03,1.261219715313931289e+00,2.920571222906766891e-04,2.815425639918959888e+00,2.868206574094404925e-04
2.463315129829794387e+03,1.261923099390823255e+00,5.559271786013103957e-04,2.813875708367652440e+00,2.133843389681435137e-04
2.473601718131494181e+03,1.262610661537598489e+00,3.947805758395033166e-04,2.812333922857200630e+00,2.194656016690270329e-04
2.483931262325276748e+03,1.263337072630021263e+00,4.987532974847563383e-04,2.810674847908931184e+00,3.002038021304503576e-04
2.494303941791188663e+03,1.264076112699940690e+00,3.623662713477442208e-04,2.809122665551645248e+00,2.385964059188261030e-04
2.504719936658349525e+03,1.264941495042263275e+00,5.423193189773640359e-04,2.807516801226372039e+00,3.454797607852600838e-04
2.515179427808082437e+03,1.265586051172620463e+00,4.111225142674187821e-04,2.805861032559289647e+00,2.381260572025925061e-04
2.525682596877055403e+03,1.266425697922550775e+00,4.361980639165367228e-04,2.804275213179896475e+00,2.898980223995622617e-04
2.536229626260434088e+03,1.267208185432557865e+00,2.769144037080483942e-04,2.802672316192144741e+00,2.904618702286883682e-04
2.546820699115051411e+03,1.267895621928347039e+00,4.266544853630230456e-04,2.800946112880261296e+00,2.639041548878265494e-04
2.557455999362587136e+03,1.268723197239631784e+00,4.755883681793873015e-04,2.799309590227816891e+00,2.101408736695579678e-04
2.568135711692762015e+03,1.269446138676064706e+00,4.279437706908916037e-04,2.797661802871821202e+00,2.414825083913417231e-04
2.578860021566546493e+03,1.270249748746073992e+00,4.951003102225645961e-04,2.795966798193826097e+00,2.340381530218853625e-04
2.589629115219373034e+03,1.271071411243265725e+00,4.433280528479764779e-04,2.794280853392895558e+00,3.119486155111919168e-04
2.600443179664383933e+03,1.271834840331719452e+00,4.935885634284037501e-04,2.792507610710307286e+00,2.381874372303684488e-04
2.611302402695670935e+03,1.272719566715590389e+00,4.582751363246167554e-04,2.790788781648151584e+00,2.841669546342840335e-04
2.622206972891534861e+03,1.273481529284171021e+00,4.453548500873980628e-04,2.789191538134738746e+00,1.989162557181347549e-04
2.633157079617765703e+03,1.274466432296801788e+00,4.247967691971247942e-04,2.787385179264304291e+00,2.035932667689891286e-04
2.644152913030926811e+03,1.275119230591365449e+00,3.665393818559770501e-04,2.785642559583350497e+00,3.608460804640425002e-04
2.655194664081659084e+03,1.275934171350270985e+00,4.506777167565494254e-04,2.783942332278136256e+00,2.198092151840401378e-04
2.666282524517996990e+03,1.276927828122455200e+00,3.647679116673094063e-04,2.782064519118819579e+00,2.115225677861047116e-04
2.677416686888699587e+03,1.277713923183536826e+00,4.560462789186271173e-04,2.780295800929843075e+00,2.818336988443618249e-04
2.688597344546586100e+03,1.278549537331500119e+00,3.614978100657406808e-04,2.778487592544574891e+00,2.809341664419513578e-04
2.699824691651906960e+03,1.279395232155458029e+00,4.923429423740711356e-04,2.776721749229252190e+00,2.861731523671927823e-04
2.711098923175706659e+03,1.280283273745402628e+00,4.360846260548133994e-04,2.774952582098960452e+00,2.802902294192779423e-04
2.722420234903212076e+03,1.281322580879261874e+00,4.611119170963780571e-04,2.773039888025801591e+00,2.535757440669449635e-04
2.733788823437231713e+03,1.282198257115127138e+00,4.551244765082992916e-04,2.771365680050471347e+00,2.528637077103412659e-04
2.745204886201569479e+03,1.282865511347541787e+00,4.133263955516984847e-04,2.769461209628926834e+00,2.017334228196240409e-04
2.756668621444455312e+03,1.284004683823767312e+00,5.053227798649243723e-04,2.767509768295526307e+00,1.441242310797251835e-04
2.768180228241985333e+03,1.284729320104050831e+00,3.467506418542687353e-04,2.765708921295269906e+00,2.312616187634989012e-04
2.779739906501582482e+03,1.285791741027159985e+00,5.374285116769952127e-04,2.763809552706802730e+00,2.398793690360134432e-04
