time,acc_x,acc_y,acc_z
2.895052249999999958e+02,3.580000000000000000e+02,2.240000000000000000e+02,1.713200000000000000e+04
2.895118872780255401e+02,3.853123851215029276e+02,2.394309340753532069e+02,1.717020549780398869e+04
2.895185495560511413e+02,3.785095683398290021e+02,2.726572859236141539e+02,1.715271482899926195e+04
2.895252118340766856e+02,2.823243270509049694e+02,2.996735477638495695e+02,1.715807170157569271e+04
2.895318741121022867e+02,2.566186781784332993e+02,3.484700313137984722e+02,1.715653762807216117e+04
2.895385363901278311e+02,2.135256863416345254e+02,3.459802490745004206e+02,1.719596580500891287e+04
2.895451986681534322e+02,1.211163413486279126e+02,3.562637629167822979e+02,1.719195044486834377e+04
2.895518609461789765e+02,8.167049096903738814e+00,3.496966661633803142e+02,1.719320555715897353e+04
2.895585232242045777e+02,-1.015593289425813595e+02,3.835841708489174380e+02,1.716501642466574049e+04
2.895651855022301220e+02,-2.421681680008350668e+02,3.920385413457014465e+02,1.717396017519734232e+04
2.895718477802557231e+02,-3.347355336289805336e+02,3.794240697210845497e+02,1.716150533112834819e+04
2.895785100582812674e+02,-3.892177944534148537e+02,3.628460266892197978e+02,1.715510482411750127e+04
2.895851723363068686e+02,-4.725903717351033606e+02,3.997406685349378108e+02,1.713164435736244559e+04
2.895918346143324129e+02,-5.281564335827898731e+02,3.817078085900103019e+02,1.717069642527114775e+04
2.895984968923580141e+02,-5.433023488344118732e+02,3.682980776523979785e+02,1.716485237712838716e+04
2.896051591703835584e+02,-6.141287304881997215e+02,3.132915196551442136e+02,1.715316684729257395e+04
2.896118214484091595e+02,-5.662350207746276283e+02,2.857917431416668705e+02,1.721044154769779198e+04
2.896184837264347038e+02,-5.666066595413662981e+02,2.796241105622603413e+02,1.720800885445740278e+04
2.896251460044603050e+02,-5.113599340084065830e+02,2.478104179948061301e+02,1.715035472534253859e+04
2.896318082824858493e+02,-4.456559942681747088e+02,2.713154153538378068e+02,1.719154491624891671e+04
2.896384705605114505e+02,-3.551925323622640462e+02,2.561089562051842563e+02,1.717923903356477604e+04
2.896451328385369948e+02,-2.503239109030417922e+02,2.151744050585147932e+02,1.722495456477021798e+04
2.896517951165625959e+02,-1.551458353696815777e+02,2.205561493528992116e+02,1.720770647796438425e+04
2.896584573945881402e+02,-1.223900618460055867e+01,2.595110781756135339e+02,1.718488297916135707e+04
2.896651196726137414e+02,9.885952639592221658e+01,2.796558216076742838e+02,1.718531631036108229e+04
2.896717819506392857e+02,1.939608567568866988e+02,3.090445323743433619e+02,1.719920664059045157e+04
2.896784442286648869e+02,2.882400614522715045e+02,3.479561180865864571e+02,1.723545354611334187e+04
2.896851065066904312e+02,4.336005772345531568e+02,3.485962566844026469e+02,1.724362041256079829e+04
2.896917687847160323e+02,5.348028053935105390e+02,3.612953247895138702e+02,1.722456457746377782e+04
2.896984310627415766e+02,5.633264056953544241e+02,3.938462806903438604e+02,1.719722529469308211e+04
2.897050933407671778e+02,6.000108430120585581e+02,3.353852230096997573e+02,1.718425831548766291e+04
2.897117556187927221e+02,6.232378214389487994e+02,3.947899595476968102e+02,1.718594020256304066e+04
2.897184178968183232e+02,6.650653623736111513e+02,3.855333501278146286e+02,1.718470096260455102e+04
2.897250801748438676e+02,7.308410625411692081e+02,3.662830045424477134e+02,1.719655245658502827e+04
2.897317424528694687e+02,7.001915796574224942e+02,4.032547639460121900e+02,1.717872200071957923e+04
2.897384047308950130e+02,6.356121834355720921e+02,3.939566668797138504e+02,1.718436546211146560e+04
2.897450670089206142e+02,6.212361266509249162e+02,4.269353345635935284e+02,1.720722790250174512e+04
2.897517292869461585e+02,5.886512765513112981e+02,4.390996622984404212e+02,1.724165290767980696e+04
2.897583915649717596e+02,5.517362601903058703e+02,3.819563805128372564e+02,1.722488406420143656e+04
2.897650538429973039e+02,5.350415016011887701e+02,3.794539713496463378e+02,1.716461696984745868e+04
2.897717161210229051e+02,4.886839601488508720e+02,3.230726429455623361e+02,1.713893399252247764e+04
2.897783783990484494e+02,4.510610324389159018e+02,3.251506703071302695e+02,1.716522820082477847e+04
2.897850406770740506e+02,4.619677834452512002e+02,2.995364729863496791e+02,1.724402932468487779e+04
2.897917029550995949e+02,5.179913982293010122e+02,2.915010590707688038e+02,1.722049247176428980e+04
2.897983652331251960e+02,4.981743665686057057e+02,3.329708398400005649e+02,1.720285373109742068e+04
2.898050275111507403e+02,5.008313080456720172e+02,2.745085467065147213e+02,1.719042925641344482e+04
2.898116897891763415e+02,5.633505980324357552e+02,2.762987252052749341e+02,1.716277840733719495e+04
2.898183520672018858e+02,5.851237542263914975e+02,2.778537358609966077e+02,1.718117854231853926e+04
2.898250143452274870e+02,6.544744249540266310e+02,2.658921993559723660e+02,1.724719916333031506e+04
2.898316766232530313e+02,7.027452314597318264e+02,2.500382690173561286e+02,1.724536177219291858e+04
