time,acc_x,acc_y,acc_z
1.310362231999999949e+03,1.176000000000000000e+03,4.200000000000000000e+01,1.716200000000000000e+04
1.310367809980232551e+03,1.195681655577469201e+03,3.886377104550193451e+01,1.720216217469055118e+04
1.310373387960465379e+03,1.190977729031183571e+03,3.641913328790766258e+01,1.720229782631640046e+04
1.310378965940697981e+03,1.170384914258109120e+03,2.594115440557810714e+01,1.713934991370827629e+04
1.310384543920930810e+03,1.172683673037900917e+03,4.362847574650726301e+01,1.719719983397225587e+04
1.310390121901163411e+03,1.149349132095113646e+03,1.369937269412169378e+01,1.717509463229140238e+04
1.310395699881396240e+03,1.154762858601464359e+03,-1.863678098378860781e+01,1.723362779814310488e+04
1.310401277861628841e+03,1.160633251495439708e+03,1.496821070084992300e+01,1.724777386675898742e+04
1.310406855841861670e+03,1.182630807942193314e+03,6.321633762942155954e-01,1.721138161676802338e+04
1.310412433822094272e+03,1.199251575655801162e+03,9.484906531194827295e+00,1.715084942551332279e+04
1.310418011802326873e+03,1.235595730513225590e+03,-2.434072889324788136e+01,1.716827457403338485e+04
1.310423589782559702e+03,1.200780841982956190e+03,2.085354722637324354e+00,1.721821056692702041e+04
1.310429167762792304e+03,1.202417592672791443e+03,-2.939006472405137238e+00,1.718115803567631883e+04
1.310434745743025132e+03,1.191477793570575386e+03,2.031421034861639896e+01,1.716807325613049397e+04
1.310440323723257734e+03,1.238701017997169174e+03,4.698981744401930172e+01,1.719102196909645863e+04
1.310445901703490563e+03,1.223772878769138060e+03,4.381521724358006509e+01,1.721988375569353593e+04
1.310451479683723164e+03,1.249014488212203332e+03,3.310429771553972245e+01,1.724832324030997552e+04
1.310457057663955993e+03,1.261274489220802479e+03,3.378422502717215536e+01,1.716872683729704659e+04
1.310462635644188595e+03,1.288858648083454227e+03,3.604751178583410365e+01,1.724441379782465810e+04
1.310468213624421423e+03,1.273496566277084639e+03,3.701676406817077236e+01,1.724567696442104716e+04
1.310473791604654025e+03,1.238736226921822436e+03,4.066970436360554686e+01,1.717610988769253527e+04
1.310479369584886626e+03,1.238471882256169010e+03,5.098207629140976138e+01,1.714183708210842451e+04
1.310484947565119455e+03,1.243061186518996010e+03,8.921473183326929757e+01,1.719661948886910614e+04
1.310490525545352057e+03,1.218842301453948721e+03,1.144400549153262574e+02,1.722145612808090300e+04
1.310496103525584886e+03,1.206579629594174776e+03,1.063906847515400500e+02,1.718433573420441098e+04
1.310501681505817487e+03,1.203984343445488321e+03,1.236805235533760623e+02,1.720380652770561574e+04
1.310507259486050316e+03,1.180136138003175347e+03,1.080423760361604337e+02,1.721818355819426142e+04
1.310512837466282917e+03,1.206055477577211605e+03,1.218285406071688186e+02,1.719604658153255150e+04
1.310518415446515746e+03,1.224990842155801374e+03,1.010805079008128189e+02,1.718268867697905807e+04
1.310523993426748348e+03,1.166375701859220499e+03,9.658723333404796563e+01,1.716535728499181641e+04
1.310529571406980949e+03,1.157399070607439171e+03,7.798859794953361302e+01,1.715246103182158549e+04
1.310535149387213778e+03,1.181952446558472275e+03,7.597989640978812531e+01,1.717535504959469108e+04
1.310540727367446380e+03,1.157349397450370134e+03,7.830399182715532902e+01,1.722151865609118977e+04
1.310546305347679208e+03,1.130385652231599579e+03,6.162294711720178242e+01,1.719995607403185204e+04
1.310551883327911810e+03,1.171240824137025356e+03,7.463876523191220969e+00,1.725922343083480519e+04
1.310557461308144639e+03,1.161655218553319401e+03,1.236016014645780636e+01,1.716373270342957767e+04
1.310563039288377240e+03,1.136867789808519092e+03,2.992696223006784351e+01,1.723123197561909910e+04
1.310568617268610069e+03,1.157319539569467452e+03,3.584987496593214473e+00,1.721378679417410603e+04
1.310574195248842670e+03,1.193900556695946761e+03,2.180413866044350613e+01,1.723847290227322083e+04
1.310579773229075499e+03,1.186822311514632929e+03,8.576930388186877252e+00,1.722846555601428190e+04
1.310585351209308101e+03,1.172617083678493600e+03,-1.444807148180667689e+01,1.724828888355346498e+04
1.310590929189540702e+03,1.161734079637536070e+03,-1.423173072979924036e+01,1.722149134029575362e+04
1.310596507169773531e+03,1.166726578877543488e+03,1.960907280372163086e+01,1.718809065272054431e+04
1.310602085150006133e+03,1.229480235905239851e+03,3.430138605092953696e+01,1.721903953438680401e+04
1.310607663130238961e+03,1.223188754051923070e+03,-1.193578875499889413e+01,1.717049179348881808e+04
1.310613241110471563e+03,1.219174331524516219e+03,2.884909224082112544e+01,1.723597783936850828e+04
1.310618819090704392e+03,1.205470201797088748e+03,2.804429108226676792e+00,1.720266850740521841e+04
1.310624397070936993e+03,1.192476409173386401e+03,1.213545747809554820e+00,1.719892802201337690e+04
1.310629975051169822e+03,1.237244250187965235e+03,2.746990195502131726e+01,1.719882933719437642e+04
1.310635553031402424e+03,1.248491272608311419e+03,1.586845293956537972e+01,1.717015360058128135e+04
1.310641131011635025e+03,1.302731145089210486e+03,1.964891420969598812e+01,1.719256494322551589e+04
1.310646708991867854e+03,1.264476025295038880e+03,1.366694525727463372e+01,1.721421462952307047e+04
1.310652286972100455e+03,1.229193155159102616e+03,5.501628002774209136e+01,1.721153155548386712e+04
