time,acc_x,acc_y,acc_z
3.773125215192307564e+02,-6.670851148861269166e+02,8.682815031119610012e+02,1.726640862214736990e+04
3.773206870603549987e+02,-3.610828780773167637e+02,9.787668487690732491e+02,1.720909161286368180e+04
3.773288526014792978e+02,1.282006998928049200e+02,1.195793204665526673e+03,1.720630714528087628e+04
3.773370181426035401e+02,6.218941254090593702e+02,1.369325275637191908e+03,1.719800000000000000e+04
3.773451836837277824e+02,1.156100478949181252e+03,1.570706174128659313e+03,1.718821263040575650e+04
3.773533492248520815e+02,1.484905847893957798e+03,1.724363450250365531e+03,1.724941286550810037e+04
3.773615147659763238e+02,1.753950560681593743e+03,1.862769269251337619e+03,1.721837808995740124e+04
3.773696803071005661e+02,1.970277263576191899e+03,1.926771187756168047e+03,1.719810290087082831e+04
3.773778458482248652e+02,2.108445769710207060e+03,1.934386774708436633e+03,1.717090437604129693e+04
3.773860113893491075e+02,2.165425795506292616e+03,1.865976682252858382e+03,1.719229681797482772e+04
3.773941769304733498e+02,2.196130836027907662e+03,1.739981270209307240e+03,1.721552026789767115e+04
3.774023424715976489e+02,2.231852994764044070e+03,1.551329919969501134e+03,1.718975840463723944e+04
3.774105080127218912e+02,2.064714826704892857e+03,1.270512445656752334e+03,1.720154139612348445e+04
3.774186735538461335e+02,1.847349519039161805e+03,9.976391161379560799e+02,1.718373980761566418e+04
3.774268390949703758e+02,1.513829624090498555e+03,7.034409056918967735e+02,1.717460028138091366e+04
3.774350046360946749e+02,1.070139042012631990e+03,4.080464747276504340e+02,1.717574572659403930e+04
3.774431701772189172e+02,6.349632044233663919e+02,1.356448305889845471e+02,1.716283049821471286e+04
3.774513357183431594e+02,2.443827469950889508e+02,-8.274941377890732497e+01,1.720874656616827633e+04
3.774595012594674586e+02,-1.181897562345130837e+02,-2.121992195540863406e+02,1.715549248779521076e+04
3.774676668005917008e+02,-3.363678877016515116e+02,-3.304313311481029700e+02,1.719374020901621770e+04
3.774758323417159431e+02,-5.979587991879454876e+02,-3.539510861914374686e+02,1.720200000000000000e+04
3.774839978828402423e+02,-8.342112910665978234e+02,-3.429960298529844067e+02,1.717262351119486993e+04
3.774921634239644845e+02,-1.015930779812616379e+03,-2.961393574681891891e+02,1.711958467887569714e+04
3.775003289650887268e+02,-1.014299194400816759e+03,-1.579984592691496061e+02,1.710979516640489965e+04
3.775084945062130259e+02,-1.012667608989005657e+03,-1.985756106914834618e+01,1.710000565393403303e+04
3.775166600473372682e+02,-1.011036023577206038e+03,1.182833371298912652e+02,1.709021614146323554e+04
3.775248255884615105e+02,-9.409056231946308344e+02,2.238692353806989104e+02,1.708519128235871176e+04
