time,acc_x,acc_y,acc_z
3.939524699999999768e+01,4.320000000000000000e+02,4.000000000000000000e+00,1.720200000000000000e+04
3.940159488656293973e+01,4.240671316799504780e+02,1.279997646976111980e+01,1.721309343397895645e+04
3.940794277312588179e+01,4.079723146981363016e+02,1.831797620678323213e+01,1.722088077510810035e+04
3.941429065968882384e+01,3.901993379577499468e+02,-1.809082268105094471e+01,1.722467501751866439e+04
3.942063854625176589e+01,3.860979919516036603e+02,-2.811241095668127699e+01,1.721288288799274596e+04
3.942698643281470794e+01,4.362154559659535948e+02,1.879746461548712277e+00,1.723758724217087365e+04
3.943333431937764999e+01,4.565051113357333747e+02,1.601349783693148510e+00,1.721743150291169513e+04
3.943968220594059204e+01,4.296647725881184101e+02,2.508510217451487279e+01,1.722243948642175746e+04
3.944603009250353409e+01,4.753022914049379892e+02,3.941594415339113766e+01,1.721140027046202522e+04
3.945237797906647614e+01,4.460018683590444084e+02,1.066421537197032254e+00,1.720276617610663379e+04
3.945872586562941819e+01,4.090065209288248980e+02,5.364740212130191566e+01,1.724955264240151155e+04
3.946507375219236025e+01,4.179480557298812187e+02,5.190341469958814002e+01,1.722011535496766737e+04
3.947142163875530230e+01,4.118560315888449281e+02,5.198551043291993778e+01,1.717380962002749220e+04
3.947776952531824435e+01,4.287695710335099761e+02,9.553741650622972870e+00,1.717525063467030850e+04
3.948411741188118640e+01,4.217277296851164579e+02,5.089032566086530096e+01,1.719423398061060652e+04
3.949046529844412845e+01,4.278714246591193273e+02,3.553864974819524747e+01,1.722435898737631214e+04
3.949681318500707050e+01,4.285948164987329960e+02,2.814431901204369524e+01,1.723355965528879096e+04
3.950316107157001255e+01,4.593641073908157750e+02,2.662346810508147144e+01,1.723977244092709589e+04
3.950950895813295460e+01,4.537161183898799095e+02,3.639854525212081171e+01,1.722436658629037265e+04
3.951585684469589665e+01,4.645022491483749718e+02,2.018065463762724931e+01,1.723269501654593478e+04
3.952220473125883871e+01,4.266393639325836489e+02,8.258054957190109846e+00,1.720570282622163722e+04
3.952855261782178076e+01,4.116811061434539170e+02,4.679039088051738560e+01,1.719370597984995766e+04
3.953490050438472281e+01,4.320187525414334573e+02,7.818204024189451218e+01,1.717508019126920772e+04
3.954124839094766486e+01,4.144121176452395048e+02,-1.432848814226636769e+01,1.719007022378011243e+04
3.954759627751060691e+01,4.519274221303990657e+02,-7.676833581948885765e+00,1.720069985393933166e+04
3.955394416407354896e+01,4.430313886708070186e+02,9.251403777751450619e+00,1.723638950753959944e+04
3.956029205063649101e+01,4.205616375147808412e+02,3.203392224045659731e+01,1.719021129641320294e+04
3.956663993719943306e+01,4.196298052812670676e+02,3.211228023272219190e+01,1.721034577350369000e+04
3.957298782376237511e+01,4.645683134323133459e+02,3.904498274443862016e+01,1.716998299165974822e+04
3.957933571032531717e+01,4.299038112719212563e+02,1.322154921968629493e+00,1.714279293039344338e+04
3.958568359688825922e+01,3.998455165609228743e+02,-7.242994869201233588e-01,1.717477885909618999e+04
3.959203148345120127e+01,4.310508947630817715e+02,4.054201879196708802e+01,1.720395267425496422e+04
3.959837937001414332e+01,4.138641349262996982e+02,3.829420902869124177e+01,1.718552077748289958e+04
3.960472725657708537e+01,4.404653071148691765e+02,4.207274055411302527e+01,1.717732325271325681e+04
3.961107514314002742e+01,4.772080661020999628e+02,4.136165220159968214e+01,1.720005718257925400e+04
3.961742302970296947e+01,4.409456323630754468e+02,2.839233933937875420e+01,1.718360253712959820e+04
3.962377091626591152e+01,4.143701171714770908e+02,3.106703390062625303e+01,1.720481835796257656e+04
3.963011880282885357e+01,4.520296287537005924e+02,4.266114429228606753e+01,1.714657470736407049e+04
3.963646668939179563e+01,4.027528686220070426e+02,3.693313608358906208e+01,1.721620027798766023e+04
3.964281457595473768e+01,4.572109144672413095e+02,1.125664593251316781e+01,1.725247544180990008e+04
3.964916246251767973e+01,4.102833043347577018e+02,2.852764315079416590e+01,1.725016930095036878e+04
3.965551034908062178e+01,4.542897816496618475e+02,1.401681855611397332e+01,1.727192691204614312e+04
3.966185823564356383e+01,4.278582400485989297e+02,4.171055497888146846e+01,1.720467235879444706e+04
3.966820612220650588e+01,4.094606474416694937e+02,6.344379512466647242e+01,1.723121701635094360e+04
3.967455400876944793e+01,4.172980885818101342e+02,5.918983673373509902e+01,1.724505686717569915e+04
3.968090189533238998e+01,3.956428876052059991e+02,4.508666772015247659e+01,1.717176031411880103e+04
3.968724978189533203e+01,4.204261114145070906e+02,2.862886367726204639e+01,1.715393318419176285e+04
3.969359766845827409e+01,4.287769731645861384e+02,1.901319833742567766e+01,1.721640381469154454e+04
3.969994555502121614e+01,4.322206490069605707e+02,3.918885328996148587e+01,1.724017492809578835e+04
3.970629344158415819e+01,4.499956298333185600e+02,6.089090157157496463e+00,1.717700581485751900e+04
3.971264132814710024e+01,4.334202092295793136e+02,3.116044826899420173e+01,1.720678783929579367e+04
3.971898921471004229e+01,4.292378695842855905e+02,1.993158849764845897e+01,1.722203440396470251e+04
3.972533710127298434e+01,4.008081863032146543e+02,1.231591777210539540e+01,1.725495787577763986e+04
3.973168498783592639e+01,3.886521583504088539e+02,-5.774488181635053508e-01,1.725543838319171118e+04
3.973803287439886844e+01,3.845282210236856031e+02,-4.198675266968992403e+00,1.718647649859633748e+04
3.974438076096181049e+01,4.435378941478526826e+02,5.860709982590633160e+01,1.720607428224687465e+04
3.975072864752475255e+01,4.293578441609620313e+02,-1.732718888142224634e+00,1.722619167179619399e+04
3.975707653408769460e+01,4.478249534998196282e+02,9.441134383965945176e+00,1.724274384393196306e+04
3.976342442065063665e+01,4.378339490505292702e+02,1.893194548263927857e+01,1.717188866373052952e+04
3.976977230721357870e+01,4.167099094422717940e+02,3.420570744925893791e+01,1.719400479066439584e+04
