# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
2.326662911331457906e+02,1.012248337868622983e+01,3.653092397380065630e-03,-1.881728645836555858e+00,2.966134670106192368e-04
2.359095330508636152e+02,1.025134613395579031e+01,2.512397899251549507e-03,-1.885842052050811901e+00,2.625341024684956881e-04
2.391979840020239862e+02,1.038080040137684534e+01,2.920605024342500834e-03,-1.890048587706247174e+00,3.697279075359905637e-04
2.425322741760352869e+02,1.051254206392967561e+01,3.973608695816812156e-03,-1.894202249324891785e+00,3.376724908188183838e-04
2.459130425468044052e+02,1.064875272864949451e+01,5.742604505572825903e-03,-1.898274776320107105e+00,7.506515786332345003e-04
2.493409369951880308e+02,1.077969092360588554e+01,4.158953758718672046e-03,-1.902713299565092386e+00,2.958859628341402336e-04
2.528166144331500504e+02,1.091571280679700529e+01,2.329386616260619054e-03,-1.906881682281782897e+00,3.080005229897893391e-04
2.563407409296514743e+02,1.104963323608278891e+01,3.154136853358241802e-03,-1.911268617295565075e+00,4.030744574182422370e-04
2.599139918382932706e+02,1.118990330128163890e+01,4.328647115828181818e-03,-1.915773275034981182e+00,3.275268240009242098e-04
2.635370519267393092e+02,1.133039510339739664e+01,4.039054671313647288e-03,-1.920145806062023563e+00,3.704453944324145268e-04
2.672106155079435439e+02,1.147248125050334622e+01,4.471980122427008167e-03,-1.924547898548065961e+00,2.957338535385243736e-04
2.709353865732051645e+02,1.161594510295192428e+01,3.402450068673333518e-03,-1.929420472235109596e+00,2.978075238387191772e-04
2.747120789270811656e+02,1.175729340057628036e+01,3.608204602978371933e-03,-1.933906983586146211e+00,2.387673812146454350e-04
2.785414163241769074e+02,1.190164514276958307e+01,2.657109006279984292e-03,-1.938512759441409772e+00,2.977350000541877551e-04
2.824241326078435463e+02,1.204645621691917690e+01,3.095164500648619858e-03,-1.943565837085652559e+00,3.427506427326496648e-04
2.863609718508116089e+02,1.219272720777238916e+01,3.173448737910165417e-03,-1.948112032203750399e+00,1.413670137543926886e-04
2.903526884977814007e+02,1.233780089173432692e+01,3.056159966652110052e-03,-1.952893420599872698e+00,2.943298333276560329e-04
2.944000475100033896e+02,1.248789506869022858e+01,3.343727776238149610e-03,-1.957847295026209355e+00,2.913221765298604996e-04
2.985038245118732334e+02,1.263948506162029695e+01,2.869151645518826666e-03,-1.962712051532650603e+00,4.568769881157695397e-04
3.026648059395691917e+02,1.279136703030291322e+01,2.627281209500737045e-03,-1.967674880756886679e+00,3.279251919449028044e-04
3.068837891917642082e+02,1.294572203265473931e+01,4.480852074506620070e-03,-1.972571675294895410e+00,2.792404211511858008e-04
3.111615827824359712e+02,1.309981356826577326e+01,3.252001577253269514e-03,-1.977811743875011574e+00,2.989883979726719386e-04
3.154990064958088283e+02,1.325549523174721855e+01,4.188875150534713057e-03,-1.983136879869919600e+00,4.200131500697048235e-04
3.198968915434537621e+02,1.341517649343785124e+01,5.183379541629297080e-03,-1.987999009783113724e+00,2.173004354799260148e-04
3.243560807235811581e+02,1.357350333812252074e+01,3.083101348061194867e-03,-1.993182144773584241e+00,3.636791707342901486e-04
3.288774285825510333e+02,1.373368546307771965e+01,8.657983852313404921e-03,-1.998569070208498832e+00,6.719953158312736699e-04
3.334618015786362548e+02,1.389465595826497690e+01,4.431222385299001323e-03,-2.003889508363175587e+00,1.798622325735784312e-04
3.381100782480685325e+02,1.405541633404163804e+01,5.222171051107040753e-03,-2.009334871381068588e+00,3.637144332285245684e-04
3.428231493733970865e+02,1.422203883188936757e+01,4.810062693717778899e-03,-2.014728867548090552e+00,2.211224654513431595e-04
3.476019181541977332e+02,1.438769133836125924e+01,5.993916621193897711e-03,-2.020216981173411419e+00,2.950811477691174067e-04
3.524473003801587652e+02,1.454920882824237971e+01,4.459318431923820804e-03,-2.025679576028790674e+00,2.935569682167834334e-04
3.573602246065788108e+02,1.471608110305571415e+01,4.292039871436297352e-03,-2.031336721477818852e+00,2.152412706226316933e-04
3.623416323323149868e+02,1.488418362514801530e+01,5.250220015255779166e-03,-2.037194825641825524e+00,2.765485192484748878e-04
3.673924781802074335e+02,1.505363736730191704e+01,4.187546217114927923e-03,-2.043050566564716952e+00,2.635138814094375114e-04
3.725137300800209346e+02,1.522715382306832943e+01,5.395072639751014205e-03,-2.048450640756400709e+00,3.388732710452751519e-04
3.777063694539368726e+02,1.539338977068066505e+01,4.245230614163315701e-03,-2.054325663443742123e+00,2.667130359827765652e-04
3.829713914046280934e+02,1.556565209009966466e+01,4.559631417349236521e-03,-2.060435068821407256e+00,2.855365194003956029e-04
3.883098049059605046e+02,1.573841847490509771e+01,5.172874051039614424e-03,-2.066036720213767275e+00,3.684811965249154119e-04
3.937226329963483522e+02,1.591344253070636761e+01,7.917197007265354067e-03,-2.071994709460021511e+00,3.242028224601867584e-04
3.992109129748053533e+02,1.608592543409147169e+01,8.746483103649112939e-03,-2.078042800477852836e+00,3.000911418890116590e-04
4.047756965997322141e+02,1.626777464714488275e+01,5.632529680071118178e-03,-2.083868938157963591e+00,2.754578692908853706e-04
4.104180502904709442e+02,1.644459854393666021e+01,4.916229172550728305e-03,-2.090002252947348538e+00,3.566293726382036770e-04
4.161390553316707042e+02,1.661770801425925725e+01,6.353804755864061668e-03,-2.096308581605530907e+00,3.157839055026039239e-04
4.219398080805024165e+02,1.679656145628968389e+01,5.163279410353062947e-03,-2.102329153899977765e+00,2.656970866184814447e-04
4.278214201767617055e+02,1.697440962935444730e+01,4.754785779184036824e-03,-2.108630864522897497e+00,4.009939484197223565e-04
4.337850187558988750e+02,1.715232354260736969e+01,4.377388233935941217e-03,-2.114942326131147077e+00,2.804764880343804754e-04
4.398317466650223651e+02,1.733060795576768953e+01,4.132133203148256537e-03,-2.121321685179642369e+00,2.974514934551634581e-04
4.459627626819095667e+02,1.751513711192127687e+01,6.194392996475239950e-03,-2.127813754653774758e+00,3.130967506590862808e-04
4.521792417370701855e+02,1.769651023612477303e+01,6.234596515747726012e-03,-2.134268076430013927e+00,3.195284603199951418e-04
4.584823751389096174e+02,1.787954066706861056e+01,3.530251268804665467e-03,-2.140766819451060510e+00,3.502138773993363342e-04
4.648733708020256472e+02,1.805994282312919097e+01,3.028032844779491532e-03,-2.147325054465577754e+00,3.302553016997017898e-04
4.713534534786907102e+02,1.824626932328209605e+01,4.667406533227780319e-03,-2.153866360447959316e+00,2.229272159452118959e-04
4.779238649935600165e+02,1.842667311164611732e+01,4.698163967487621259e-03,-2.160327622650044521e+00,3.131384059649245147e-04
4.845858644816495939e+02,1.861180238713643575e+01,4.450533895948115617e-03,-2.166951269009497416e+00,2.631251005166265018e-04
4.913407286296362031e+02,1.880144591168152601e+01,7.713501793018049009e-03,-2.173713906241382610e+00,2.246801954754066644e-04
4.981897519205165281e+02,1.898418312879540082e+01,9.893491212293532497e-03,-2.180270112814548078e+00,3.775770300655570118e-04
5.051342468816766313e+02,1.917051895721868959e+01,3.529149474692678048e-03,-2.187406875799496220e+00,3.049302316315258862e-04
5.121755443364240818e+02,1.935215185664768711e+01,6.515892686865461768e-03,-2.194026863018017082e+00,3.425324135033970974e-04
5.193149936590211837e+02,1.953787835598195599e+01,4.325444988005232652e-03,-2.201168426510244469e+00,3.321981209296505366e-04
5.265539630332755223e+02,1.972070736995795315e+01,5.095092746637784435e-03,-2.207980959617509953e+00,2.351541576853876476e-04
5.338938397147350088e+02,1.991026413989256838e+01,5.542649022530586091e-03,-2.214864128702117796e+00,2.945402956744522975e-04
5.413360302965380697e+02,2.009413422235324020e+01,8.844470646472995037e-03,-2.221859142807415921e+00,2.646009446695971393e-04
5.488819609789671858e+02,2.028315778848251938e+01,5.284335139590772348e-03,-2.229026476561421166e+00,3.168239429687215924e-04
5.565330778427645555e+02,2.046698766089612320e+01,6.216513516395632752e-03,-2.236189510564710936e+00,1.661199907887873852e-04
5.642908471262542207e+02,2.065461012595167034e+01,4.594488866986727940e-03,-2.243173659401717313e+00,3.340135387063540226e-04
5.721567555063252257e+02,2.083878825262701895e+01,7.454654436115203640e-03,-2.250394377118332567e+00,3.152411672073820678e-04
5.801323103833378809e+02,2.102432640928719465e+01,7.523401147181624400e-03,-2.257511508549989721e+00,2.341085435364508081e-04
5.882190401699955373e+02,2.121218034698362942e+01,6.959028743653841546e-03,-2.264621085019606017e+00,3.180358268233798229e-04
5.964184945842459911e+02,2.139730173714301742e+01,1.048965751359292806e-02,-2.271868401989110886e+00,2.234051011516676962e-04
6.047322449462649274e+02,2.157790299644435805e+01,6.058150815613358962e-03,-2.279235751061147841e+00,2.707946166143714701e-04
6.131618844795775658e+02,2.176061277574797970e+01,6.775938324017552819e-03,-2.286411400859729603e+00,4.210880851642341354e-04
6.217090286163827386e+02,2.194196201579314831e+01,6.448782294235662002e-03,-2.293644641365456316e+00,1.674278392403236334e-04
6.303753153071281758e+02,2.213022604466869581e+01,6.371760287762667611e-03,-2.301130161736649082e+00,3.260964908996616353e-04
6.391624053344005461e+02,2.231063313748106935e+01,8.343457690779411406e-03,-2.308511493312734419e+00,3.554057427736132218e-04
6.480719826311971019e+02,2.249445592583830589e+01,4.443787356077006680e-03,-2.315887664103937205e+00,1.971305985285561491e-04
6.571057546036270196e+02,2.267798523167945035e+01,4.381305269700343924e-03,-2.323369041643933208e+00,2.226437427799556686e-04
6.662654524581149644e+02,2.285966962427469440e+01,4.320440624872298914e-03,-2.330768145184693996e+00,2.151311590453437869e-04
6.755528315331639533e+02,2.303948496422239955e+01,6.798112588966257960e-03,-2.338154113668228895e+00,1.459230469010315665e-04
6.849696716357447031e+02,2.321880385623596865e+01,5.605976563129258863e-03,-2.345764988531588990e+00,3.605319940125297656e-04
6.945177773823696725e+02,2.339631377340743867e+01,7.111675026361155040e-03,-2.353233895989152114e+00,3.076050743486967616e-04
7.041989785449288775e+02,2.357445909238716197e+01,5.796444166613654719e-03,-2.360743788192025683e+00,2.162892003435691970e-04
7.140151304013403433e+02,2.375254690984280259e+01,5.217166692793963334e-03,-2.368325412508251571e+00,2.771249536825923275e-04
7.239681140910877275e+02,2.393061086022552786e+01,8.928857086604222171e-03,-2.376015053522683385e+00,2.563626152454338055e-04
7.340598369757211685e+02,2.410642506638959048e+01,6.464244724625210596e-03,-2.383764143375171951e+00,3.400552996790155128e-04
7.442922330043758166e+02,2.427928161466137880e+01,3.774873416007270503e-03,-2.391287544475162896e+00,1.926766296017866364e-04
7.546672630843886509e+02,2.445446550798641994e+01,4.400550038014879907e-03,-2.398663371496501551e+00,2.750774941334724029e-04
7.651869154570825913e+02,2.462460759523566978e+01,5.300572409710004561e-03,-2.406472124939171842e+00,2.583414427451855510e-04
7.758532060787836144e+02,2.479238252096002881e+01,8.679641800981678645e-03,-2.413928302083412802e+00,2.296292095833047514e-04
7.866681790071581872e+02,2.496234741538183499e+01,5.053559979019016032e-03,-2.421609173606086962e+00,2.120284115931596574e-04
7.976339067929280873e+02,2.512677139077016619e+01,8.202355724629375316e-03,-2.429380116546881574e+00,2.871257158637448010e-04
8.087524908770457159e+02,2.529549574484394014e+01,5.211521025598956323e-03,-2.437006546886383518e+00,2.402624228293319701e-04
8.200260619934131228e+02,2.545891872478691909e+01,7.270204367375106627e-03,-2.444754807903250171e+00,2.209669136920088645e-04
8.314567805772063593e+02,2.562390429921243395e+01,6.218715285386187432e-03,-2.452425275490361489e+00,3.007995049349413298e-04
8.430468371788966806e+02,2.579375443391277756e+01,8.420394661912945777e-03,-2.459957205892402410e+00,3.161211724870235701e-04
8.547984528840413532e+02,2.595086640517299514e+01,8.566716325959598116e-03,-2.467607894502220400e+00,2.187890620299981579e-04
8.667138797389233105e+02,2.611075116877694313e+01,8.873436999433050379e-03,-2.475366360186049164e+00,2.147412274441775151e-04
8.787954011821319682e+02,2.626256062404929637e+01,9.072737210682338752e-03,-2.483076678569605011e+00,3.189888225940737247e-04
8.910453324821512524e+02,2.642550916670164796e+01,6.593252855086394887e-03,-2.490586930754328687e+00,2.464689088991053509e-04
9.034660211810534065e+02,2.657567475936134471e+01,6.508854284944898955e-03,-2.498293418701310831e+00,3.405462327281050727e-04
9.160598475443709958e+02,2.672531708186279431e+01,3.901607017835644932e-03,-2.506012601085438884e+00,2.428019376613764762e-04
9.288292250172498825e+02,2.688344743445330920e+01,6.282042433609713941e-03,-2.513752745368515562e+00,3.135200152348524083e-04
9.417766006869518378e+02,2.703078277728401346e+01,6.711907197267621972e-03,-2.521436765159928761e+00,2.555810119438101493e-04
9.549044557518077454e+02,2.717950521053690949e+01,8.196452370597536938e-03,-2.529255724961392726e+00,2.026840861523315654e-04
9.682153059967085937e+02,2.732931755332167612e+01,1.036723760712940888e-02,-2.536793051677308508e+00,2.277070583514821276e-04
9.817117022752192952e+02,2.747155156673240839e+01,1.142926501227694951e-02,-2.544510062432139730e+00,3.072489076880916101e-04
9.953962309984233343e+02,2.761781357916225943e+01,1.340254652262894142e-02,-2.552076221156355018e+00,3.269354221876402482e-04
1.009271514630571801e+03,2.775334934315461055e+01,6.752610600105369947e-03,-2.559652202504471230e+00,4.067807015304359341e-04
1.023340212191642308e+03,2.789396858577269356e+01,1.040444780778556136e-02,-2.567197326717275185e+00,3.027244425234775892e-04
1.037605019766911710e+03,2.803416338180067058e+01,7.244251655799088807e-03,-2.574978425714168573e+00,2.714152481747939775e-04
1.052068671023622755e+03,2.816711370017661054e+01,7.138530941770049668e-03,-2.582451053656176221e+00,4.189822610982001701e-04
1.066733937734857136e+03,2.830538529648559276e+01,1.231666174251440718e-02,-2.590077386512945168e+00,3.054821289201417470e-04
1.081603630310709377e+03,2.844206698847164105e+01,6.331008777963177334e-03,-2.597790280945580399e+00,2.614126781426889595e-04
1.096680598336868570e+03,2.856944834159761371e+01,1.045698429783177216e-02,-2.605511802496249807e+00,5.141100318597688606e-04
1.111967731120699000e+03,2.869949064032018526e+01,8.614560692411822596e-03,-2.612930511259437427e+00,2.352754319577964764e-04
1.127467958244947340e+03,2.882611322417112731e+01,6.684291941198954902e-03,-2.620502976756949653e+00,3.631671613645726516e-04
1.143184250129150314e+03,2.894709099953207598e+01,5.227214198640038438e-03,-2.627894395297093233e+00,1.710993835631631065e-04
1.159119618598885609e+03,2.907280338800430286e+01,9.926324659143637499e-03,-2.635438088784921362e+00,2.930258634432513398e-04
1.175277117462945171e+03,2.919181127610603355e+01,6.827983637258039883e-03,-2.643035862176385642e+00,2.286185883399869843e-04
1.191659843098558667e+03,2.930647669074763328e+01,1.004526207930615291e-02,-2.650291198248372559e+00,3.535636699759612546e-04
1.208270935044776024e+03,2.943033856122665526e+01,1.167574442908270518e-02,-2.657776054915131247e+00,2.392381525333178065e-04
1.225113576604119089e+03,2.954241046290296779e+01,6.140264126666290616e-03,-2.665441103588295668e+00,3.203422688647460494e-04
1.242190995452617472e+03,2.965982973842950088e+01,5.440433173607019113e-03,-2.672901014283020960e+00,2.258420152372300673e-04
1.259506464258357710e+03,2.977548772095219221e+01,8.409140209544212555e-03,-2.680257793230425012e+00,2.816388298531576702e-04
1.277063301308644668e+03,2.988287011433951790e+01,6.530091297458195249e-03,-2.687817727918573318e+00,3.779498588937834974e-04
1.294864871145904999e+03,2.998698456254798117e+01,7.586432114950330229e-03,-2.694993997290488608e+00,2.663695073200361566e-04
1.312914585212465227e+03,3.009372264088607807e+01,8.936864986312543016e-03,-2.702278432649953377e+00,4.149517791990160113e-04
1.331215902504307678e+03,3.019714337623246436e+01,9.520605632862154735e-03,-2.709656687988823975e+00,2.510836712773503645e-04
1.349772330233941830e+03,3.030417415687844596e+01,7.073927978441015528e-03,-2.716864472798843799e+00,2.609100523989366376e-04
1.368587424502517706e+03,3.040075138021633805e+01,1.012629030813374034e-02,-2.724082666938688391e+00,3.557891115397976531e-04
1.387664790981308442e+03,3.049977524422498121e+01,1.164138996883932846e-02,-2.731383941976087470e+00,3.043638986707006668e-04
1.407008085602685014e+03,3.059559785109094676e+01,9.438384945813556998e-03,-2.738421556149519098e+00,2.535586902170085754e-04
1.426621015260738432e+03,3.069469486465008501e+01,8.028090535188261642e-03,-2.745739976487077794e+00,2.435581871122289243e-04
1.446507338521647171e+03,3.079176429095112866e+01,1.158765796047005713e-02,-2.753057733397428652e+00,2.794375084273984910e-04
1.466670866343968555e+03,3.087750884721796751e+01,9.930602580922131759e-03,-2.760069255815687406e+00,2.429379652181916502e-04
1.487115462808953680e+03,3.096559834875449013e+01,9.365138923951219635e-03,-2.767316237464567230e+00,2.493052842648338526e-04
1.507845045861050949e+03,3.105514967286832118e+01,1.303768819341610992e-02,-2.774214110060329919e+00,2.388200210648275560e-04
1.528863588058729420e+03,3.113663963095576648e+01,9.620629028710131828e-03,-2.781553101476059275e+00,3.354428238432049505e-04
1.550175117335770437e+03,3.122591034117215969e+01,7.789136222589407299e-03,-2.788562586293569900e+00,4.030587540851200603e-04
1.571783717773162834e+03,3.130181990164272676e+01,6.214367147328532341e-03,-2.795664965805394697e+00,3.635813323204285818e-04
1.593693530381776100e+03,3.138011100384527552e+01,9.312602040178455734e-03,-2.802595893388609483e+00,2.606497816032576518e-04
1.615908753895919062e+03,3.145900342426232754e+01,1.008380862300531020e-02,-2.809811047045587706e+00,3.087764124493427181e-04
1.638433645577984635e+03,3.153390066513548362e+01,8.095782375478387249e-03,-2.816658204533624588e+00,3.593707483526941272e-04
1.661272522034292933e+03,3.160445146119185011e+01,7.965465048162605546e-03,-2.823490087523855330e+00,2.389141296464371506e-04
1.684429760042315138e+03,3.168225506999731778e+01,9.168273904128665386e-03,-2.830628576549250486e+00,2.198174879106475934e-04
1.707909797389426785e+03,3.175745854646336852e+01,7.990099106344003554e-03,-2.837510868740810377e+00,2.621300735940873799e-04
1.731717133723352845e+03,3.182354318427538686e+01,1.429920269698591734e-02,-2.844317917312741084e+00,3.395439797968098053e-04
1.755856331414468741e+03,3.189093327203721628e+01,6.609813998550695228e-03,-2.851180165808684386e+00,2.012058234016917281e-04
1.780332016430113754e+03,3.195693102711918598e+01,8.701572454912768345e-03,-2.858267267171235027e+00,2.242529270375086140e-04
1.805148879221110064e+03,3.202180001936659437e+01,7.086364065165439395e-03,-2.864860415277668437e+00,2.613777072709406275e-04
1.830311675620612959e+03,3.209042947811548174e+01,9.235816756599440208e-03,-2.871849990724613111e+00,3.694287974246514175e-04
1.855825227755518881e+03,3.215111354589724613e+01,1.489330336835944374e-02,-2.878489743392192768e+00,3.261112159860578914e-04
1.881694424970555474e+03,3.221276500867092807e+01,7.220866494891267987e-03,-2.885390411146137701e+00,3.013588453232648881e-04
1.907924224765265080e+03,3.226899003287326906e+01,8.005411805872313796e-03,-2.892132230725056985e+00,3.519867542283738621e-04
1.934519653744044263e+03,3.232359482313121646e+01,7.146108154803081786e-03,-2.898985951480857803e+00,3.170609819268496482e-04
1.961485808579431477e+03,3.238209547444702707e+01,1.015509119393339516e-02,-2.905842903231054652e+00,3.522140521426912600e-04
1.988827856988809799e+03,3.243351437764356149e+01,1.072636404089763983e-02,-2.912382350824096910e+00,4.397764683402788973e-04
2.016551038724748423e+03,3.248293845774580291e+01,8.462109767761297890e-03,-2.919085697928751166e+00,2.777562835848765440e-04
2.044660666579117787e+03,3.253982994504413995e+01,8.285534348723529868e-03,-2.925699421682357304e+00,1.964440205595033642e-04
2.073162127401230919e+03,3.258700106422476495e+01,8.079186451707999483e-03,-2.932396327345425213e+00,2.056510431010491512e-04
2.102060883130158345e+03,3.262821213973870016e+01,9.437090540091204807e-03,-2.939181135159380176e+00,3.627918873425450938e-04
2.131362471841437582e+03,3.268327057282587589e+01,9.697404398250526053e-03,-2.945794018160431182e+00,2.938313650796576257e-04
2.161072508808376369e+03,3.272009930866843064e+01,1.170466713562718156e-02,-2.952349344416467680e+00,3.741496173369147677e-04
2.191196687578147248e+03,3.276469764097329573e+01,9.237805867426963566e-03,-2.958931837140954979e+00,3.047375802477486325e-04
2.221740781062884707e+03,3.280227101980586468e+01,7.338843775105520842e-03,-2.965686277485464206e+00,2.941685000915445435e-04
2.252710642645980442e+03,3.284620048251589708e+01,1.089381709350926465e-02,-2.972343130716279092e+00,3.377991649340409894e-04
2.284112207303825471e+03,3.288755162951274258e+01,7.531062875982317759e-03,-2.978984284690419315e+00,1.837857333417538619e-04
