# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.805148879221108245e+03,1.025536080927303084e+00,2.201986289560091089e-04,-2.042876849822947261e+00,2.164150661797249969e-04
1.838776980082326872e+03,1.040658839049476869e+00,2.594465261489191203e-04,-2.050222963845439672e+00,2.246893063824600143e-04
1.873031538506436618e+03,1.055991496068112934e+00,3.009711842567984333e-04,-2.058032804912452551e+00,1.376828174047281062e-04
1.907924224765265080e+03,1.071312336726347514e+00,2.433740698663550562e-04,-2.065643427181841130e+00,1.088716347850989376e-04
1.943466926536020310e+03,1.086665498848512934e+00,2.131947486732966896e-04,-2.073317239944601376e+00,1.674547461907229938e-04
1.979671752951332564e+03,1.102121483191920159e+00,3.845396339869386706e-04,-2.081120322830324110e+00,2.501300076882180014e-04
2.016551038724746377e+03,1.117567739449038200e+00,2.727222778249956841e-04,-2.088957719360317711e+00,1.819278648876109601e-04
2.054117348353064244e+03,1.133416228712448071e+00,2.602586516990166112e-04,-2.097051255617318866e+00,1.524502834145349697e-04
2.092383480396977120e+03,1.149279683448344525e+00,2.186711236110865163e-04,-2.105136419686004068e+00,2.305196257296377479e-04
2.131362471841437582e+03,1.165214318189381704e+00,2.052020164372632307e-04,-2.113192443608238769e+00,2.126926241253920770e-04
2.171067602537264975e+03,1.181024309946514084e+00,1.969687700452549663e-04,-2.121308750798631682e+00,2.452740010151305489e-04
2.211512399725488649e+03,1.196916100018822871e+00,1.864380619574009402e-04,-2.129438866501990990e+00,1.803277893280791182e-04
2.252710642645980442e+03,1.212493610510568143e+00,1.813092948236489689e-04,-2.137904956130353362e+00,2.664209862064875821e-04
2.294676367231936183e+03,1.228524948221497048e+00,1.721812229686826173e-04,-2.146325489050995294e+00,2.797953374866459430e-04
2.337423870891815113e+03,1.244528705765285626e+00,1.401696996111714507e-04,-2.154842148417325909e+00,2.061441760020593184e-04
2.380967717380358408e+03,1.260516756429459040e+00,3.132258884146020138e-04,-2.163280502702463082e+00,2.091393365048660772e-04
2.425322741760352983e+03,1.276665608472667746e+00,1.183982668018275389e-04,-2.171801334090986746e+00,2.149516215137074792e-04
2.470504055456825427e+03,1.293005086114344504e+00,1.659298786534578430e-04,-2.180396254884455320e+00,1.765032935945250213e-04
2.516527051405391830e+03,1.309067601162070771e+00,3.070221895411842910e-04,-2.189203003200434594e+00,1.405877509009654993e-04
2.563407409296515198e+03,1.325160127125083465e+00,2.603377255143907772e-04,-2.197855130291399117e+00,1.470721936881984728e-04
2.611161100917459407e+03,1.341284000077269001e+00,2.818575103940511284e-04,-2.206662445614315793e+00,1.695240948375423317e-04
2.659804395593758272e+03,1.357450504056904483e+00,1.192057401320777854e-04,-2.215565999234888395e+00,1.524878692060988668e-04
2.709353865732051418e+03,1.373463252732883166e+00,3.287168498453382553e-04,-2.224434917746104468e+00,1.484447977093751082e-04
2.759826392466180550e+03,1.389416946761915295e+00,3.255805723715597720e-04,-2.233376385871781444e+00,2.501335310189756298e-04
2.811239171408464244e+03,1.405615560913040074e+00,3.557966702633003401e-04,-2.242339757244914633e+00,1.865299529934175539e-04
2.863609718508115748e+03,1.421690953275812852e+00,4.544543260718352461e-04,-2.251511552535459870e+00,2.443077583589900567e-04
2.916955876018796062e+03,1.437675662941521715e+00,2.753195961374334147e-04,-2.260508858607329863e+00,1.417691175749297226e-04
2.971295818577334103e+03,1.453685160621339900e+00,2.583601768991200943e-04,-2.269604207997117040e+00,1.834344811298511079e-04
3.026648059395692144e+03,1.469372622503126724e+00,2.782209266392050677e-04,-2.278711029308867708e+00,1.780428164588746301e-04
3.083031456568277008e+03,1.485335898676440669e+00,1.887588592845094028e-04,-2.287933435923535708e+00,1.773651511477636507e-04
3.140465219496752070e+03,1.500973918909873195e+00,1.826683526097061701e-04,-2.296956562343809072e+00,2.277974258273330178e-04
3.198968915434537848e+03,1.516843609946184834e+00,2.614187530661806185e-04,-2.306182784698330046e+00,1.347573221824530500e-04
3.258562476153226271e+03,1.532275597196696371e+00,2.373047986374213084e-04,-2.315489141404677209e+00,2.202298689546177692e-04
3.319266204733189625e+03,1.547762998405454171e+00,2.205836075327057824e-04,-2.324728722984561902e+00,1.475018312415996100e-04
3.381100782480685211e+03,1.563044445269005989e+00,3.574647135898983172e-04,-2.334005957741514425e+00,1.499034910219971552e-04
3.444087275973823580e+03,1.578395366014734513e+00,2.257040258841527239e-04,-2.343293811961721929e+00,1.777121456894215274e-04
3.508247144239792306e+03,1.593350547027571285e+00,3.753102321475006685e-04,-2.352605120982110609e+00,1.482661962026261739e-04
3.573602246065788222e+03,1.608296037384874921e+00,1.999671525290256020e-04,-2.361898112261566318e+00,1.572669810418781951e-04
3.640174847446141484e+03,1.623603442834187449e+00,2.213969767238295884e-04,-2.371250483194452752e+00,1.364924690185100313e-04
3.707987629168172589e+03,1.638220375746069823e+00,3.641785747770667032e-04,-2.380487225067500656e+00,1.772695482566107375e-04
3.777063694539364406e+03,1.652646667981839901e+00,2.052657497480815652e-04,-2.389819532683136405e+00,8.808089014467526527e-05
3.847426577258505858e+03,1.666998541673907708e+00,2.838295874077014554e-04,-2.399216990487115897e+00,1.560041073262027542e-04
3.919100249433402041e+03,1.680976012672131814e+00,3.267373361241016007e-04,-2.408414882155136549e+00,1.768940740431596014e-04
3.992109129748053419e+03,1.695078592224814162e+00,3.598087960857987715e-04,-2.417685886683374807e+00,1.859483826117975939e-04
4.066478091781853891e+03,1.708997901920436435e+00,2.386897843992130273e-04,-2.426910346438824639e+00,1.470068870231547515e-04
4.142232472483898164e+03,1.722676913931939779e+00,3.047543752865258847e-04,-2.436296990578965538e+00,1.975439228064431059e-04
