Freq_x, PSD_x, Freq_y, PSD_y, Freq_z, PSD_z
3.225806451612903136e-02,2.455732736630310102e-03,3.225806451612903136e-02,3.229608168142166446e-04,3.225806451612903136e-02,7.935989369626988478e-05
6.451612903225806273e-02,2.020020304906710532e-03,6.451612903225806273e-02,3.609207734165985402e-04,6.451612903225806273e-02,8.361267814066165199e-05
9.677419354838709409e-02,1.515607512092877847e-03,9.677419354838709409e-02,4.189001261685659284e-04,9.677419354838709409e-02,7.910427540351160774e-05
1.290322580645161255e-01,1.112738782169609081e-03,1.290322580645161255e-01,4.385274953575902580e-04,1.290322580645161255e-01,7.690162351362740830e-05
1.612903225806451568e-01,8.502474387248339614e-04,1.612903225806451568e-01,4.532792009503075633e-04,1.612903225806451568e-01,8.102184486881161215e-05
1.935483870967741882e-01,6.272851898654939820e-04,1.935483870967741882e-01,4.802014875253414732e-04,1.935483870967741882e-01,7.731384137652217478e-05
2.258064516129032195e-01,4.892054612265560147e-04,2.258064516129032195e-01,4.972192027686086774e-04,2.258064516129032195e-01,7.468650061042138538e-05
2.580645161290322509e-01,3.949218616533819006e-04,2.580645161290322509e-01,4.865543139913021333e-04,2.580645161290322509e-01,7.037877134608748952e-05
2.903225806451612545e-01,3.257661063023868805e-04,2.903225806451612545e-01,4.885918542987627245e-04,2.903225806451612545e-01,7.319136253587591042e-05
3.225806451612903136e-01,2.657741255800103461e-04,3.225806451612903136e-01,5.184403419181788861e-04,3.225806451612903136e-01,6.407439992749632191e-05
3.548387096774193727e-01,2.054683463737156442e-04,3.548387096774193727e-01,5.012232023482979162e-04,3.548387096774193727e-01,6.651611667509705857e-05
3.870967741935483764e-01,1.704701024632606537e-04,3.870967741935483764e-01,5.059881098677429089e-04,3.870967741935483764e-01,6.892982102640397130e-05
4.193548387096773800e-01,1.430522698365233904e-04,4.193548387096773800e-01,5.310426932476091820e-04,4.193548387096773800e-01,6.853928770396974042e-05
4.516129032258064391e-01,1.211113986360381464e-04,4.516129032258064391e-01,5.343436125923197019e-04,4.516129032258064391e-01,6.446832874827032589e-05
4.838709677419354982e-01,1.063391634974339883e-04,4.838709677419354982e-01,5.045317524021417956e-04,4.838709677419354982e-01,6.685737477411012931e-05
5.161290322580645018e-01,8.692939001743961642e-05,5.161290322580645018e-01,5.300429432036542774e-04,5.161290322580645018e-01,6.317180948493736879e-05
5.483870967741935054e-01,8.385876179927017303e-05,5.483870967741935054e-01,5.190847113294457102e-04,5.483870967741935054e-01,6.292252336215639283e-05
5.806451612903225090e-01,8.241915303033754551e-05,5.806451612903225090e-01,5.054984579788695132e-04,5.806451612903225090e-01,5.955575773634205723e-05
6.129032258064516236e-01,9.310190278765314849e-05,6.129032258064516236e-01,5.153128432131868575e-04,6.129032258064516236e-01,5.791204807843966409e-05
6.451612903225806273e-01,1.110122766287547068e-04,6.451612903225806273e-01,5.470865781375879467e-04,6.451612903225806273e-01,5.900115693282750482e-05
6.774193548387096309e-01,1.306446949883682243e-04,6.774193548387096309e-01,5.232567078919078988e-04,6.774193548387096309e-01,6.297606066468014929e-05
7.096774193548387455e-01,1.598808895924338635e-04,7.096774193548387455e-01,5.358240586909707691e-04,7.096774193548387455e-01,6.131916721663797031e-05
