# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.241965631162638374e+03,6.537242483998740283e+01,1.407582368526485439e+00,-1.536472102976589982e+00,2.768619820625390499e-02
1.247151970895594332e+03,6.559561005952984658e+01,2.264714567072560136e+00,-1.544765776665428358e+00,2.286245080325507995e-02
1.252359968329174762e+03,6.739287390587867321e+01,1.858677130618516138e+00,-1.546038847047058074e+00,3.483178966782735780e-02
1.257589713904041218e+03,6.651846872642748565e+01,1.285033845467889568e+00,-1.545206887551400232e+00,1.588002932730540537e-02
1.262841298438527474e+03,6.681943622914198500e+01,1.108794331877539951e+00,-1.569220634909613166e+00,3.009189421714456719e-02
1.268114813130216817e+03,6.778427353992277915e+01,1.164298497440325209e+00,-1.552449453834759296e+00,2.821439277484416239e-02
1.273410349557525478e+03,6.779071463124378738e+01,2.241286553399427728e+00,-1.552047706041993269e+00,2.482640540612261401e-02
1.278727999681293568e+03,6.886222904827216951e+01,1.978823417103770632e+00,-1.544184771242522292e+00,3.411760000658618092e-02
1.284067855846380780e+03,6.837311026593673091e+01,1.253065265175590026e+00,-1.546384443947254717e+00,1.942813846651174348e-02
1.289430010783273019e+03,6.949869800931934094e+01,2.214465963252302938e+00,-1.549127739228268963e+00,2.211176903585111014e-02
1.294814557609686290e+03,7.005993498930601504e+01,1.732887742767764028e+00,-1.552965974613239375e+00,2.059865163293770479e-02
1.300221589832191967e+03,7.041924052502994869e+01,1.390234870950942669e+00,-1.553727900124426187e+00,2.140329559432418982e-02
1.305651201347835240e+03,7.120104783266519632e+01,1.857065519049125868e+00,-1.556268892263405368e+00,1.952022588395471367e-02
1.311103486445767430e+03,7.139563472406523204e+01,1.772275321432080997e+00,-1.536912738243792154e+00,2.884052269306992475e-02
1.316578539808882852e+03,7.064005830117120865e+01,1.530006698316582758e+00,-1.561298119893052672e+00,2.606373293678573150e-02
1.322076456515463406e+03,7.160679659538133990e+01,1.608186334413030716e+00,-1.554579398796081868e+00,2.065074025649149894e-02
1.327597332040829542e+03,7.276809189802351341e+01,1.649789065462798687e+00,-1.539841348294295642e+00,1.487825674492320414e-02
1.333141262258998267e+03,7.361939267526922492e+01,1.667563691661677172e+00,-1.566314045255710719e+00,1.927593314334091062e-02
1.338708343444349566e+03,7.223805703847448001e+01,2.024480032531054796e+00,-1.563518236339463519e+00,2.846628154685131723e-02
1.344298672273292823e+03,7.444724844604579062e+01,1.978348342159535145e+00,-1.553492523284325744e+00,1.985809021742180117e-02
1.349912345825953253e+03,7.344932109581158386e+01,2.099381450576856434e+00,-1.533841551227558053e+00,3.367382345758332396e-02
1.355549461587853102e+03,7.475016892090440024e+01,1.467501090628162252e+00,-1.554386984618440160e+00,3.090029827878208388e-02
1.361210117451605811e+03,7.516381588427815075e+01,1.571898053800464101e+00,-1.545076026742957964e+00,2.809435143137723259e-02
1.366894411718615629e+03,7.542478283581240817e+01,1.898365269313329495e+00,-1.560188266923499878e+00,2.894382312122061041e-02
1.372602443100784512e+03,7.528584169298004269e+01,1.260709959753348652e+00,-1.560386538458637729e+00,2.675624758308787349e-02
1.378334310722227428e+03,7.710992060234897849e+01,3.161035807050486479e+00,-1.556544879668640302e+00,3.067557398633066409e-02
1.384090114120992439e+03,7.708427244145427437e+01,2.562361694090994124e+00,-1.563377736279272234e+00,2.534647529658694623e-02
1.389869953250791241e+03,7.700916211222636321e+01,1.769627200174060055e+00,-1.521184020005022397e+00,2.672880650174091696e-02
1.395673928482729252e+03,7.848191996223215483e+01,2.083303773265204217e+00,-1.553670891342018079e+00,2.501965732304966064e-02
