# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
3.368357725970137835e+04,3.083314835186217806e+01,1.857497457916186923e+00,-1.575424185244951536e+00,6.238048035902598459e-02
3.376494614595134044e+04,3.150100822564161263e+01,1.480038445943757885e+00,-1.574758814504835458e+00,4.444098023514555379e-02
3.384651159373627888e+04,3.358963177973215153e+01,2.551499247800288916e+00,-1.560728624151596744e+00,3.296908331504030260e-02
3.392827407788678829e+04,3.246880142653882473e+01,1.649389111273718456e+00,-1.567905445099165185e+00,7.931373913667140452e-02
3.401023407438044524e+04,3.335793001761469156e+01,1.329372747271108546e+00,-1.534044937183003610e+00,6.345268674227169670e-02
3.409239206034482777e+04,3.284212049942087930e+01,1.972206439510847176e+00,-1.595648316954793922e+00,8.135649127765139099e-02
3.417474851405992376e+04,3.154407186201227020e+01,2.243412235033322322e+00,-1.559241129617550570e+00,9.139227480163185369e-02
3.425730391496113589e+04,3.302336847779203310e+01,1.782261585447064256e+00,-1.527885943919496059e+00,5.505783183917113688e-02
3.434005874364204647e+04,3.347133303115167990e+01,1.790412943007588575e+00,-1.576731256459173558e+00,6.101243318185677750e-02
3.442301348185720417e+04,3.362729125889413950e+01,1.439459960821882989e+00,-1.562947508729070289e+00,6.998007034060028941e-02
3.450616861252491071e+04,3.273132405969236913e+01,1.301098306197696841e+00,-1.594906957150362681e+00,4.919052090335485072e-02
3.458952461973005120e+04,3.303084375338838186e+01,1.453303758289571146e+00,-1.599216523982597948e+00,7.823579892769161326e-02
3.467308198872690991e+04,3.512087805443202626e+01,1.619934914477236143e+00,-1.613499020213964075e+00,5.292091522086037753e-02
3.475684120594199339e+04,3.428294810948833060e+01,1.794550287431756264e+00,-1.597887173505674552e+00,7.428245847362174858e-02
3.484080275897686079e+04,3.345194554203703774e+01,1.899024440324530216e+00,-1.588371479486287985e+00,8.143429315468864171e-02
3.492496713661088143e+04,3.411891864523367701e+01,2.656938138926886239e+00,-1.550691405867742123e+00,2.484693399170243358e-02
3.500933482880438532e+04,3.433522893905294637e+01,2.329706862779750143e+00,-1.584694921922331412e+00,7.065298204978054386e-02
3.509390632670107152e+04,3.330587636885785230e+01,2.264911597804054377e+00,-1.568684424442858161e+00,5.880525935163491424e-02
3.517868212263117312e+04,3.500232723189768791e+01,1.268602285607474123e+00,-1.585825021649811761e+00,4.394601765629745083e-02
3.526366271011422214e+04,3.518900293327450868e+01,2.771890734916886423e+00,-1.557865447087555255e+00,4.911810329531594854e-02
3.534884858386193810e+04,3.386017148889714434e+01,1.455598551959482956e+00,-1.579875540734534622e+00,3.847859852643845113e-02
3.543424023978111654e+04,3.477219852135773692e+01,1.486814901972487224e+00,-1.589227133232110178e+00,5.976113342670046763e-02
3.551983817497650307e+04,3.434436787898677323e+01,1.567744427869395940e+00,-1.607633188983580208e+00,6.434527004532540617e-02
3.560564288775368186e+04,3.525105944067428965e+01,9.797704726781293338e-01,-1.578694057547661789e+00,4.796782783788277466e-02
3.569165487762200792e+04,3.620837426927781166e+01,1.659446308375066792e+00,-1.558396365313104770e+00,5.698738323602776934e-02
3.577787464529748104e+04,3.646014317639198055e+01,2.500590328358011760e+00,-1.572333956692929968e+00,4.620743162608746679e-02
3.586430269270559074e+04,3.639729591535414244e+01,1.072333517575058792e+00,-1.554865382844143884e+00,1.016202697211086026e-01
