# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
3.450616861252491071e+04,3.417128139408841037e+01,3.179545660889793623e+00,-1.549257428913088486e+00,9.917861169904690355e-02
3.458952461973005120e+04,3.305105517365917223e+01,2.408147610698204932e+00,-1.592177987670577943e+00,7.663427167894763803e-02
3.467308198872690991e+04,3.260780110881256633e+01,3.801349921524723285e+00,-1.568332933216360692e+00,7.281281463693300982e-02
3.475684120594199339e+04,3.394853731400785080e+01,3.347399150946941848e+00,-1.604829168886173552e+00,8.120602924493444674e-02
3.484080275897686079e+04,3.504893264946937137e+01,2.482029608369678009e+00,-1.595180749122889097e+00,1.190351827777614974e-01
3.492496713661088143e+04,3.468428826514192309e+01,2.667801180481041978e+00,-1.588964193599355257e+00,1.386009430341128557e-01
3.500933482880438532e+04,3.345789539031068927e+01,2.729581591180635147e+00,-1.568391154584860780e+00,1.341104871898092243e-01
3.509390632670107152e+04,3.426265324807975787e+01,2.682839601277051678e+00,-1.527847924022730508e+00,1.165288744588233172e-01
3.517868212263117312e+04,3.610104393898602382e+01,3.397208868901866907e+00,-1.579403852391953356e+00,8.753012388417329148e-02
3.526366271011422214e+04,3.396632949709908189e+01,2.011089955351775593e+00,-1.605930506905699051e+00,1.074894655405012889e-01
3.534884858386193810e+04,3.447571855620020642e+01,2.223732316635828710e+00,-1.583098515377304505e+00,9.451232864006782475e-02
3.543424023978111654e+04,3.504581079837232238e+01,3.252151507958913168e+00,-1.574549621323156234e+00,1.015454752136761146e-01
3.551983817497650307e+04,3.398868231572159715e+01,2.509292456761559098e+00,-1.572966893289430512e+00,7.167197735921684854e-02
3.560564288775368186e+04,3.339697888342260512e+01,2.212043065701480238e+00,-1.567909794716529470e+00,9.452769623238924113e-02
3.569165487762200792e+04,3.486172035351711429e+01,3.689849278740868321e+00,-1.574770515843423313e+00,9.552991151458642416e-02
3.577787464529748104e+04,3.504049505651777707e+01,3.469636294853992275e+00,-1.630697636902168401e+00,1.190470117099277497e-01
3.586430269270559074e+04,3.751236252411819549e+01,2.799477993164036338e+00,-1.600341131692644581e+00,8.449495466059980808e-02
3.595093952298455406e+04,3.685768794190473585e+01,1.998357914334174978e+00,-1.613729708047613176e+00,1.263658682514423870e-01
3.603778564048778208e+04,3.675303911500824938e+01,1.864586876211299593e+00,-1.565999563228789082e+00,8.454575251504838074e-02
3.612484155078711774e+04,3.532452869970262554e+01,3.068609072259810500e+00,-1.617215407818450412e+00,5.246380758260085070e-02
3.621210776067571715e+04,3.551763238847568971e+01,2.544400252056584932e+00,-1.515802740890904277e+00,1.039465717288203944e-01
3.629958477817097446e+04,3.540582560064319750e+01,2.194224552269062656e+00,-1.639946022879516407e+00,8.565088710468754529e-02
3.638727311251751235e+04,3.661678448389656637e+01,3.414700122192030118e+00,-1.581130329908538412e+00,8.303442404977308400e-02
3.647517327419009234e+04,3.674041968495728838e+01,2.433459448474728948e+00,-1.589427266550478279e+00,6.869268027252389830e-02
3.656328577489666350e+04,3.739876214675145860e+01,2.668488547710866854e+00,-1.569090020052096079e+00,6.268169468241374664e-02
3.665161112758128002e+04,3.772674739890446460e+01,2.004214049026814326e+00,-1.562288490445129074e+00,8.313939061912821449e-02
3.674014984642709169e+04,3.887870803031404421e+01,2.303366668647724325e+00,-1.563701792293418880e+00,5.352719384991644347e-02
3.682890244685938524e+04,3.733244746373496525e+01,2.240320710683584515e+00,-1.543979588107149636e+00,5.292534568553934615e-02
3.691786944554845832e+04,3.822974299781466101e+01,1.858157910832214599e+00,-1.551544686708189236e+00,9.672438665223188903e-02
3.700705136041293736e+04,3.860544143268832329e+01,4.561895245352761918e+00,-1.578988190473868070e+00,7.132095492903797740e-02
3.709644871062236780e+04,4.009360445176871224e+01,2.562975792101397587e+00,-1.605267392566948503e+00,7.160934309487307359e-02
3.718606201660051738e+04,3.919619852202087884e+01,1.808993982812767687e+00,-1.592239685467357502e+00,9.414240302313875430e-02
3.727589180002833018e+04,3.965174458758174580e+01,3.037248877354552956e+00,-1.581566998157203141e+00,9.090533812069968855e-02
3.736593858384696068e+04,4.035931863180989865e+01,2.666566443244459350e+00,-1.547522354581099879e+00,1.125776665560124512e-01
3.745620289226082969e+04,3.884306739127488584e+01,1.692335998427930255e+00,-1.560133830696971424e+00,9.208240918505201933e-02
3.754668525074067293e+04,4.025335903317127872e+01,2.751798663691207736e+00,-1.547581688212621875e+00,5.717021610037307383e-02
3.763738618602660426e+04,4.059976058576150848e+01,2.523766900292943482e+00,-1.557532875303103692e+00,4.521006020746743542e-02
3.772830622613115702e+04,3.979718109279982485e+01,2.539651666031862209e+00,-1.624959958749340405e+00,6.272591816317328595e-02
3.781944590034238354e+04,4.133805783647427035e+01,2.490635259929556256e+00,-1.565518216107284477e+00,6.054552016420071403e-02
3.791080573922685289e+04,4.069879289141873357e+01,2.649034068090694305e+00,-1.556846563532618521e+00,8.035412623153814771e-02
3.800238627463305602e+04,4.256589043185262966e+01,2.099338828673324109e+00,-1.585234940264806713e+00,8.555283774319311085e-02
3.809418803969401779e+04,4.067219293673159797e+01,2.302676902769774436e+00,-1.600137419802721395e+00,7.810562801728239413e-02
3.818621156883071671e+04,4.218192809833058732e+01,2.275276361619166021e+00,-1.553109177824740783e+00,4.585908982287568991e-02
3.827845739775514812e+04,4.190333377697143646e+01,3.261053845060180034e+00,-1.598890796351811305e+00,7.099954413056640268e-02
3.837092606347339461e+04,4.176054592769327201e+01,2.830871471787932414e+00,-1.528921996131691996e+00,6.063080360932595475e-02
3.846361810428878380e+04,4.087098683293625356e+01,1.376595718763105713e+00,-1.571358296495965812e+00,5.129463988997499252e-02
3.855653405980500975e+04,4.133119511537127977e+01,1.567215300282844170e+00,-1.582869450213765017e+00,5.892041836628003626e-02
3.864967447092929797e+04,4.216688078732222777e+01,2.499030028451753704e+00,-1.563513524565494972e+00,8.789158884398923233e-02
3.874303987987550499e+04,4.381364582168400545e+01,3.382459777667012890e+00,-1.581981441753540718e+00,7.066681699843142817e-02
3.883663083016731980e+04,4.216153632122878037e+01,2.506914252426387435e+00,-1.587700051753706765e+00,9.372334556101566405e-02
3.893044786664134881e+04,4.469959922069705982e+01,1.688849570716372650e+00,-1.583630542956833809e+00,5.302820985860680347e-02
3.902449153545055742e+04,4.355312223612904177e+01,1.168235835380194487e+00,-1.609054657517427600e+00,6.066388220411121635e-02
3.911876238406703487e+04,4.479090482236957627e+01,3.168786787438523600e+00,-1.569984321584683373e+00,5.831486984363510456e-02
3.921326096128545760e+04,4.372973099056999047e+01,1.775785739675237007e+00,-1.566126552655872306e+00,4.816090077273479236e-02
3.930798781722621061e+04,4.437701966276958387e+01,2.829096495220045249e+00,-1.575632665136590393e+00,5.475736665335276254e-02
3.940294350333861075e+04,4.470574624815802878e+01,1.655701743232293577e+00,-1.582621216736993741e+00,6.065546988946981383e-02
3.949812857240407902e+04,4.454746874159506831e+01,2.705762748379572091e+00,-1.600842538397772241e+00,7.553243014216143303e-02
