# freq1	PSD1	freq2	PSD2
3.417968749999999545e+03	2.296528678800602631e-08	3.417968749999999545e+03	5.392354522987337017e-12
3.442382812499999545e+03	2.073995172461533191e-08	3.442382812499999545e+03	2.087982798509712388e-11
3.466796874999999545e+03	1.603718209881966960e-08	3.466796874999999545e+03	1.008467763071525625e-10
3.491210937499999545e+03	1.772523198210213698e-08	3.491210937499999545e+03	1.096511904849189235e-10
3.515624999999999545e+03	1.484832488288917447e-08	3.515624999999999545e+03	1.340201342166217570e-12
3.540039062499999545e+03	1.249365915442796791e-08	3.540039062499999545e+03	4.484334101592081635e-11
3.564453124999999545e+03	1.371977586473371158e-08	3.564453124999999545e+03	5.092550054233166834e-12
3.588867187499999545e+03	1.454363448810978198e-08	3.588867187499999545e+03	7.528624013603911239e-11
3.613281249999999545e+03	1.264586954890846420e-08	3.613281249999999545e+03	3.147195135642144876e-14
3.637695312499999545e+03	1.000071196946311778e-08	3.637695312499999545e+03	2.652296722651734857e-11
3.662109374999999545e+03	1.068275164298069903e-08	3.662109374999999545e+03	7.811603332885679525e-11
3.686523437499999545e+03	8.213595000577676374e-09	3.686523437499999545e+03	2.051336002045595334e-11
3.710937499999999545e+03	8.154317387139770099e-09	3.710937499999999545e+03	8.505217042700683197e-11
3.735351562499999545e+03	7.569178659617522791e-09	3.735351562499999545e+03	1.072885595841950640e-11
3.759765624999999545e+03	6.633239766997371339e-09	3.759765624999999545e+03	4.386523095740993020e-11
3.784179687499999545e+03	3.934548101951253758e-09	3.784179687499999545e+03	1.682796179104824288e-11
3.808593749999999545e+03	6.889396469603464506e-09	3.808593749999999545e+03	1.339262549409411489e-11
3.833007812499999545e+03	5.665768358775510170e-09	3.833007812499999545e+03	3.362236355105748029e-12
3.857421874999999545e+03	4.880281138561231135e-09	3.857421874999999545e+03	4.533216048020197171e-11
3.881835937499999545e+03	3.855408238103531327e-09	3.881835937499999545e+03	5.516223368074653783e-11
3.906249999999999545e+03	3.126563092553854296e-09	3.906249999999999545e+03	9.116252317795772504e-11
3.930664062499999545e+03	3.968379261771305034e-09	3.930664062499999545e+03	6.852792498396673793e-11
3.955078124999999545e+03	4.043375892192153779e-09	3.955078124999999545e+03	3.627229936217539308e-11
3.979492187499999545e+03	4.582499898824936809e-09	3.979492187499999545e+03	1.679744801322006426e-10
4.003906249999999545e+03	5.266197777750255995e-09	4.003906249999999545e+03	5.262259409528588778e-10
4.028320312499999545e+03	2.614378156817460949e-09	4.028320312499999545e+03	1.306747462498727250e-11
4.052734374999999545e+03	3.230212243239791634e-09	4.052734374999999545e+03	3.854397488166828882e-11
4.077148437499999545e+03	2.916100642797973007e-09	4.077148437499999545e+03	1.844631550389064863e-10
4.101562499999999091e+03	1.687791348325223788e-09	4.101562499999999091e+03	5.345808653317069791e-11
4.125976562499999091e+03	1.492340178765730941e-09	4.125976562499999091e+03	1.127601837770692767e-10
4.150390624999999091e+03	1.840390658603171878e-09	4.150390624999999091e+03	5.531233584522949127e-11
4.174804687499999091e+03	1.622909809151906519e-09	4.174804687499999091e+03	8.946214304611518670e-11
4.199218749999999091e+03	2.323164783811443807e-09	4.199218749999999091e+03	1.249192535774191605e-10
4.223632812499999091e+03	1.744674307580602487e-09	4.223632812499999091e+03	2.670137523897527172e-11
4.248046874999999091e+03	1.042821645122295252e-09	4.248046874999999091e+03	8.028294364709207654e-11
4.272460937499999091e+03	9.085762322382425189e-10	4.272460937499999091e+03	1.260728675589068982e-12
4.296874999999999091e+03	6.225816116496208299e-10	4.296874999999999091e+03	1.576078560922036602e-11
4.321289062499999091e+03	1.089479489514645208e-09	4.321289062499999091e+03	6.989256172871984595e-11
4.345703124999999091e+03	6.068736804603061055e-10	4.345703124999999091e+03	6.251449278530749652e-11
4.370117187499999091e+03	1.003583790479147152e-09	4.370117187499999091e+03	3.602039230210971029e-11
4.394531249999999091e+03	7.878735929338613156e-10	4.394531249999999091e+03	1.072441120327009488e-10
4.418945312499999091e+03	9.321718857658758988e-10	4.418945312499999091e+03	1.636604555718843618e-10
4.443359374999999091e+03	6.967101998940300239e-10	4.443359374999999091e+03	3.092678323468732244e-11
4.467773437499999091e+03	7.060495044209125918e-10	4.467773437499999091e+03	2.050562667812434219e-12
4.492187499999999091e+03	7.692262202750827949e-10	4.492187499999999091e+03	4.577894553879823249e-11
4.516601562499999091e+03	6.098952026357693043e-10	4.516601562499999091e+03	2.061914445551363614e-10
4.541015624999999091e+03	6.021609458792279419e-10	4.541015624999999091e+03	2.171081062789937510e-11
4.565429687499999091e+03	1.305828964782821527e-09	4.565429687499999091e+03	9.218363941786504543e-11
4.589843749999999091e+03	1.788785227862509289e-09	4.589843749999999091e+03	4.776571919534202086e-11
4.614257812499999091e+03	2.153262324290616093e-09	4.614257812499999091e+03	6.444667705698320142e-11
4.638671874999999091e+03	2.406436003279313472e-09	4.638671874999999091e+03	1.917775684818997803e-11
4.663085937499999091e+03	2.472151717103800172e-09	4.663085937499999091e+03	8.140366036118636359e-11
4.687499999999999091e+03	3.754938119262978933e-09	4.687499999999999091e+03	8.764721848493419050e-12
4.711914062499999091e+03	3.723587107054658934e-09	4.711914062499999091e+03	1.523382370516052628e-10
4.736328124999999091e+03	6.627706197680619153e-09	4.736328124999999091e+03	4.106077893233496394e-12
4.760742187499999091e+03	7.901419203166303818e-09	4.760742187499999091e+03	3.776876025651070231e-11
4.785156249999999091e+03	1.029801213434543522e-08	4.785156249999999091e+03	5.297304437685136867e-11
4.809570312499999091e+03	1.508621994226858438e-08	4.809570312499999091e+03	1.540665543022832081e-10
4.833984374999999091e+03	2.303523188919002352e-08	4.833984374999999091e+03	3.165877715089239429e-12
4.858398437499999091e+03	3.075290854794351050e-08	4.858398437499999091e+03	3.495167098118962976e-11
