Frequency[Hz], Hx, sHx, Hy, sHy, PhaseX[rad], sPhaseX, PhaseY[rad], sPhaseY
1.500000000000000000e+00,7.489173633752574139e-05,7.899135513199694654e-06,2.398230944402540438e-03,7.625172645193517428e-06,-6.108844148445307098e-01,2.119614058500780274e-01,7.073718569716724858e-04,6.403388577789425121e-03
1.519999999999999796e+00,6.939418190696981358e-05,7.700926106109935428e-06,2.622109066452297296e-03,7.432111416169986250e-06,-5.203673594866984331e-01,2.243294733285108866e-01,-2.223545956853101302e-02,5.749308857779552966e-03
1.540000000000000036e+00,8.846632224590577091e-05,7.479189094931905584e-06,2.919601266955972919e-03,7.224852375210808493e-06,-4.007219354952802348e-01,1.710376620393108671e-01,-1.549364437236633307e-02,5.000494219451471177e-03
1.560000000000000053e+00,9.317369364732677587e-05,7.298415933732022350e-06,3.268658392510226818e-03,7.044676862232056323e-06,-1.373811378259306437e-01,1.614999211640407439e-01,-3.049593152895635484e-02,4.450860940216004071e-03
1.580000000000000071e+00,1.230320408584228162e-04,7.113295077410797399e-06,3.648586406543885031e-03,6.871720943493926139e-06,1.770336572154240784e-01,1.189075295571628832e-01,-2.366744495765793488e-02,3.868371336607637385e-03
1.600000000000000089e+00,1.282330964556343633e-04,6.947471690084939176e-06,4.219056598192455314e-03,6.707801306489564547e-06,-3.315044734483265643e-01,1.111488843415073258e-01,-3.266022731250739497e-02,3.267099697023619249e-03
1.600000000000000089e+00,1.399336369994667005e-04,6.936370753917870615e-06,4.243780346472969187e-03,6.698666687402769131e-06,-7.549826669571091387e-02,1.000192936864566645e-01,-2.446569972880130450e-02,3.184379531386974990e-03
1.620000000000000107e+00,1.491636076330527417e-04,6.758666635783714236e-06,4.872303347559947539e-03,6.527344460759170307e-06,-1.028261883821186551e-01,9.156339036978311530e-02,-6.072184372904665395e-02,2.706937709837510357e-03
1.639999999999999680e+00,1.818381395097185319e-04,6.606459686455077621e-06,5.801314102102216562e-03,6.378150784477681226e-06,-1.523841737255571260e-02,7.356663975985962278e-02,-4.484035695385024667e-02,2.227397320671238579e-03
1.659999999999999920e+00,2.154999399652208570e-04,6.449218944715327922e-06,7.108232415346243428e-03,6.226419756116288617e-06,-1.261954572619705672e-01,6.123337123794377751e-02,-8.895281712727243217e-02,1.793415520377354948e-03
1.679999999999999938e+00,2.824532756967440268e-04,6.298614883669793867e-06,9.058434239091476409e-03,6.082625254473664558e-06,-2.032052489351712232e-01,4.500884603834912762e-02,-8.515642532094247485e-02,1.355791289825628845e-03
1.699999999999999956e+00,4.083957959381967354e-04,6.142668854651034987e-06,1.277740705851024457e-02,5.930771976816060363e-06,-2.080697619749551919e-01,3.113414318705543665e-02,-1.677190502724226207e-01,9.613926791624673000e-04
1.699999999999999956e+00,4.141257422412051811e-04,6.147813174376391336e-06,1.299654961101527791e-02,5.935928170161908344e-06,-3.105505383810474029e-01,3.058572784943553238e-02,-2.139206182594488581e-01,9.418299396643869210e-04
1.719999999999999973e+00,7.415320885242012491e-04,6.012875899346823979e-06,2.231823933499306120e-02,5.807122871434963609e-06,-3.334285275572073104e-01,1.654860254593712443e-02,-2.419517417249377189e-01,5.309144660911562907e-04
1.739999999999999991e+00,2.083808468818595418e-03,5.863840252056157845e-06,6.005603049568098567e-02,5.663177790573136746e-06,-1.182836927920938308e+00,5.774506254805374279e-03,-1.134135135322233090e+00,1.934985073371961082e-04
