# #Freq[Hz], #Gain_mean[a.u.], #Gain_std[a.u.], #Phase_mean[rad], #Phase_std[rad]
1.000000000000000000e+01,1.019757020251249600e+02,4.110791531572554475e-02,-2.053969558387436223e-03,4.347904403148596087e-04
1.020044922957914046e+01,1.020137801430875868e+02,3.701148057209107528e-02,-2.261936289596899827e-03,6.083409876262293537e-04
1.040491644852216702e+01,1.019879921679029593e+02,4.108004445297790824e-02,-1.901753050197951865e-03,4.427252206932603116e-04
1.061348219711632446e+01,1.019819013741477249e+02,6.229443158349687315e-02,-2.240305645362461549e-03,6.702047270174127250e-04
1.082622863007271441e+01,1.019700078307028406e+02,7.684414415482428151e-02,-2.555171341858564205e-03,3.202054498169196075e-04
1.104323954888728387e+01,1.019662928548002867e+02,5.263071832073765860e-02,-2.297578561555058303e-03,6.079190722690708867e-04
1.126460043485051798e+01,1.020112455246280661e+02,3.541924767573592647e-02,-2.394989828285743090e-03,3.714002151788694888e-04
1.149039848271878128e+01,1.020113028833860369e+02,4.074999165331581047e-02,-2.350880327853088932e-03,4.197864832643113898e-04
1.172072263506061063e+01,1.019774544174402848e+02,4.576445635907050447e-02,-2.271119248497521868e-03,5.168072481944379704e-04
1.195566361729147786e+01,1.019787607850883830e+02,4.664885323878756318e-02,-2.662806235239401076e-03,6.383993101601014844e-04
1.219531397341082091e+01,1.019594605211103868e+02,5.285488342157966535e-02,-2.714171162100687072e-03,7.449236895933834639e-04
1.243976810245541387e+01,1.019888768813288777e+02,2.415900560986352849e-02,-2.574394753011644173e-03,4.072113361727442522e-04
1.268912229568344685e+01,1.019953700511427854e+02,6.738139946832902294e-02,-2.759155760780984765e-03,3.601433476288738722e-04
1.294347477450397044e+01,1.019981046024920772e+02,4.575474992853985345e-02,-2.761975005758498993e-03,5.939023643512986910e-04
1.320292572916661200e+01,1.020023059844715050e+02,5.397659852601722347e-02,-2.899201932751216230e-03,2.506703155302449277e-04
1.346757735822681745e+01,1.019639438981520669e+02,4.137793605216354836e-02,-3.041937537147898409e-03,5.132118998477991009e-04
